ID,名称,中文名称
1,ダガー,匕首
2,ダガー改,匕首改
3,アイアンナイフ,铁制小刀
4,毒のナイフ,毒之小刀
5,ゴールドナイフ,金制小刀
6,洗礼のナイフ,洗礼小刀
7,洗礼のナイフ改,洗礼小刀改
8,メイジマッシャー,法师杀手
9,テンプマッシャー,诱惑杀手
10,マインゴーシュ,格挡匕首
11,グラディウス,宽刃短剑
12,ミスリルナイフ,秘银制小刀
13,マインゴーシュ・エア,格挡匕首・风
14,ミセリコルデ,怜悯之刃
15,ゾーリンシェイプ,佐林小刀
16,ミセリコルデ・スパイク,怜悯之刃・棘刺
17,クリスタルナイフ,水晶制小刀
18,ゾーリンシェイプ・アース,佐林小刀・土
19,ゾーリンシェイプ・アクア,佐林小刀・水
20,ウィンドナイフ,风之小刀
21,竜鱗のナイフ,龙鳞制小刀
22,ケミカルマイン,化学格挡匕首
23,アサシンダガー,刺客匕首
24,オリハルコンナイフ,奥利哈钢制小刀
25,オリハルコンレッド,奥利哈钢红
26,プリズムナイフ,棱镜小刀
27,プリズムナイフ・アクア,棱镜小刀・水
28,テンプゴーシュ,诱惑格挡匕首
29,カーリーダガー,卷曲匕首
30,アサシンレイジ,刺客狂怒
31,フレイダガー,弗雷匕首
32,フレイヤダガー,芙蕾雅匕首
33,流星のナイフ,流星制小刀
34,ホーリーテンプ,神圣诱惑
35,ダークアサシン,暗影刺客
36,慈悲のナイフ,慈悲之小刀
37,スネークウィンド,蛇风
38,トリックスターナイフ,诡计之星小刀
39,ドルムカーリー,多尔姆卡里
40,ドラゴンウィンド,龙卷风
41,電磁ブレード,电磁刀
42,裁きのナイフ,裁决之小刀
43,神々の誘惑,神明的诱惑
44,アサシンロード,刺客主宰
46,ひのきのぼう,桧木棒
47,カスタムソード,定制剑
48,ひのきのぼう改,桧木棒改
49,銅の剣,铜剑
50,ひのきのぼう改＋,桧木棒改＋
51,アイアンソード,铁剑
52,アイアンソード改,铁剑改
53,カスタムソード改,定制剑改
54,隼の剣,隼之剑
55,闇ひのきのぼう改＋,暗之桧木棒改＋
56,アイアンソード改＋,铁剑改＋
57,エレメントカスタム,元素定制剑
58,ファルシオン,弯刃大刀
59,誘惑の剣,诱惑之剑
60,淫らな誘惑の剣,淫荡的诱惑之剑
61,ミスリルソード,秘银剑
62,ホーリーカスタム,神圣定制剑
63,ミスリルソード・エア,秘银剑・风
64,ホーリーカスタム改,神圣定制剑改
65,ルーンブレード,符文之刃
66,ルーンブレード・アース,符文之刃・土
67,ルーンブレード・アクア,符文之刃・水
68,マジカルブレード,魔法之刃
69,エンハンスソード,强化剑
70,ジャスティスカスタム,正义定制剑
71,ドラゴンエンハンス,龙强化剑
72,フラクタルカスタム,分形定制剑
73,奇跡の剣,奇迹之剑
74,プリズムソード,棱镜剑
75,フラクタルナイトカスタム,分形骑士定制剑
76,プリズムソード・エア,棱镜剑・风
77,プリズムクラッド,棱镜覆层
78,ハイロウナイトカスタム,光环骑士定制剑
79,エンジェルエンハンス,天使强化剑
80,誘惑の魔剣,诱惑之魔剑
81,抗う者の剣,反抗者之剑
82,グラディエーター,剑斗士
83,聖剣ハィロウナイト,圣剑光环骑士
84,立ち向かう者の剣,对抗者之剑
85,グラディエーター・オズマ,剑斗士・奥兹玛
87,ゴールドソード,黄金剑
88,ゴールドソード改,黄金剑改
89,グレードソード,大剑
90,グレードソード改,大剑改
91,ディフェンダー,防御者
92,オックスディフェンダー,猛牛防御者
93,血塗られた騎士剣,血染的骑士剑
94,ドラゴンキラー,屠龙者
95,クリスタルソード,水晶剑
96,ドラゴンキラー改,屠龙者改
97,稲妻の剣,闪电之剑
98,吹雪の剣,暴雪之剑
99,竜鱗の剣,龙鳞制剑
100,紫電稲妻の剣,紫电雷鸣之剑
101,吹雪の剣・霙,吹雪之剑・霙
102,草薙の剣,草薙之剑
103,アロンダイト,阿隆戴特
104,デュランダル,杜兰达尔
105,アロンダイト・アーク,阿隆戴特・暗
106,オリハルコンの剣,奥利哈钢制剑
107,ペルセウスの剣,珀尔修斯之剑
108,ペルセウスの輝剣,珀尔修斯的辉剑
109,オリハルコンロード,奥利哈钢主宰
110,フロストロード,霜冻主宰
111,流星の剣,流星制之剑
112,ハインリヒの剣,海因里希之剑
113,ドラグネスディフェンダー,龙之力防御者
114,ドラゴンロード,龙之主宰
115,破壊の剣,破坏之剑
116,天軍の剣,天军之剑
117,奇跡の騎士剣,奇迹骑士剑
118,エクスカリバー,断钢剑
119,隼の騎士剣,隼骑士剑
120,吹雪稲妻剣,暴风雪闪电剑
121,ペルセウスの輝聖剣,珀尔修斯的光辉圣剑
122,アロンダイト・オズマ,阿隆戴特・奥兹玛
123,神翼・隼の剣,神翼・隼之剑
125,クレイモア,双刃大剑
126,クレイモア・アース,双刃大剑・土
127,クレイモア・アクア,双刃大剑・水
128,斬馬刀,斩马刀
129,斬馬刀・雷電,斩马刀・雷电
130,バスタードソード,混种剑
131,ドラゴンバスタード,龙混种剑
132,マキナバスタード,器械混种剑
133,バスタードマグナ,玛格纳混种剑
134,斬鉄剣,斩铁剑
135,斬鉄剣・魔星,斩铁剑・魔星
136,巨人剣タイタス,巨人剑泰坦
137,タイタスロード,泰坦主宰
138,タイタスドラグネス,泰坦龙剑
139,バスタードエンデ,最终混种剑
140,ゴッドスレイヤー,神杀剑
141,終式ゴッドスレイヤー,终式神杀剑
143,レイピア,细剑
144,レイピア改,细剑改
145,アイアンレイピア,铁制细剑
146,アイアンレイピア改,铁制细剑改
147,ゴールドレイピア,黄金细剑
148,アースレイピア,大地细剑
149,ラミアンレイピア,拉米亚细剑
150,神秘のレイピア,神秘细剑
151,ミスリルレイピア,秘银制细剑
152,デスレイピア,死亡细剑
153,ラミアンレイピアX,拉米亚细剑X
154,クリスタルレイピア,水晶制细剑
