ID,名称,中文名称
1,ルカ,鲁卡
2,ルカ,鲁卡
3,ルカ,鲁卡
4,ルカ,鲁卡
5,アリス,爱丽丝
6,アリス,爱丽丝
7,アリス,爱丽丝
9,ワールドブレイカー,世界破坏者
10,ジャッジメント,审判
12,シルフ,希尔芙
13,ノーム,诺姆
14,ウンディーネ,温蒂妮
15,サラマンダー,萨拉曼达
16,グランベリア,古兰贝莉娅
17,グランベリア,古兰贝莉娅
19,アルマエルマ,阿露艾露玛
21,たまも,玉藻
22,玉藻,""
23,エルベティエ,艾露贝提耶
24,エルベティエ・カナデ,艾露贝提耶・祸抚
26,イリアス,伊莉娅丝
27,イリアス,伊莉娅丝
28,イリアス,伊莉娅丝
29,イリアス,伊莉娅丝
30,カオスイリアス,混沌伊莉娅丝
32,ミカエラ,米迦艾拉
33,ミカエラ,米迦艾拉
34,ミカエラちゃん,小米迦艾拉
35,ルシフィナ,路西菲娜
36,ルシフィナちゃん,小路西菲娜
37,プロメスティン,普罗米斯汀
38,プロメスティン,普罗米斯汀
39,プロメスティン,普罗米斯汀
40,プロメスティン,普罗米斯汀
41,プロメスティン,普罗米斯汀
45,アリストロメリア,爱丽丝特洛梅利亚
53,ライム,莱姆
54,うさ,小兔子
55,メルク,梅尔克
56,ラミ,拉米
57,ルミ,露米
58,レミ,蕾米
59,ラゴラ,拉戈拉
60,ポチ,波奇
61,ミミー,米米
62,ゴブ,葛布
63,ゴブ,葛布
64,プチ,普蒂
65,プチ,普蒂
66,ヴァニラ,瓦尼拉
67,ヴァニラ,瓦尼拉
68,パピ,帕皮
69,パピ,帕皮
70,ラティ,拉蒂
71,アマラ,阿玛拉
72,ミニ,米妮
73,ヒル,希尔
74,バーニー,巴妮
75,メリー,梅丽
76,シュリー,修莉
77,ジェイド,杰伊德
78,シェスタ,谢丝塔
79,ヌルコ,黏黏子
80,ヒップ,臀部
81,ハニー,甜心
82,ちゅん,鹑
83,レイナ,蕾娜
84,ピナ＆ピィ,皮娜＆皮伊
85,エリザベス,艾利莎贝
86,ロザリオ,罗莎莉奥
87,メルティ,梅尔蒂
88,かぼちゃ,南瓜
89,シンディ,辛蒂
90,メルメル,梅鲁梅鲁
91,キャンドラ,坎德拉
92,イーター,伊塔
93,ライオット,莱奥特
94,ルクスル,露克斯
95,ロナ,罗娜
96,マリオン,玛丽昂
97,フェル,菲尔
98,エイミ,艾米
99,ギギ,吉吉
100,フレシア,芙莉西亚
101,リヒティーヌ,莉希蒂娜
102,きつね,狐狸
103,かむろ,神室
104,ラクネ,拉克涅
105,ミネリ,米内莉
106,七尾,""
107,ユメ,梦
108,シェリー,雪莉
109,ソープ,索普
110,ベス,贝丝
111,メロン,蜜瓜
112,かずら,葛
113,アナスタシア,安娜塔西亚
114,わかめ,海带
115,くらげ,水母
116,イザベル,伊莎贝尔
117,あんこ,豆沙
118,メイア,梅尔
119,アニー,安妮
120,ヨーコ,洋子
121,コーネリア,科妮莉亚
122,ソフィア,索菲亚
123,クリスティー,克莉丝蒂娜
124,杏奈,""
125,アイシャ,艾莎
126,ロビン,罗宾
127,リッピー,莉皮
128,ジリアン,吉莉安
129,ヒルデ,希尔德
130,キャリー,嘉莉
131,みやび,美雅
132,エリィ,艾莉
133,ゾンビーズ,僵尸们
134,クロム,库洛姆
135,フレデリカ,芙蕾德莉卡
136,クローディア,克劳蒂娅
137,ラブ＆ラム,拉布＆拉姆
138,ミル＆リル,米尔与莉尔
139,フェアリーズ,小仙子们
140,ラチュラ,塔图拉
141,ミナ,米娜
142,バナッチ,巴纳奇
143,エヴァ,伊娃
144,サニー,萨妮
145,ヴァネッサ,温妮莎
146,スカーレット,斯卡蕾特
147,キャスタ,卡斯塔
148,ミュー,缪
149,ジーニー,吉妮
150,パトラ,帕特拉
151,ライラ,莱拉
152,ネフェルラミアス,奈夫顿拉米亚集团
153,スフィンクス,斯芬克斯
154,ガー,咬咬
155,サキ,萨琪
156,レジーナ,蕾吉娜
157,アシダカ,阿茜达卡
158,アンナ,安娜
159,メイデン,梅登
160,ユリア,尤莉亚
161,レモン,柠檬
162,蜜壺,蜜壶
163,リリィ,莉莉
164,雫,""
165,ナホ,奈穗
166,ナビス,娜维斯
167,ルシア,露西亚
168,まなこ,真奈子
169,リル,莉露
170,レン,莲
171,ミランダ,米兰达
172,ミラージュ,幻舞
173,ヘレン,海伦
174,ダリア,达利亚
175,ディジィ,迪吉
176,ヴィタエ,薇塔耶
177,ヴェータラ,维塔拉
178,ヴァルト,瓦尔特
179,シニファ,希妮法
180,シャドー,影
181,リザ,丽莎
182,クロウリー,克劳利
183,トーチャ,托琪亚
184,フランチェスカ,弗朗西斯卡
185,ラディオ,拉迪奥
191,ウィドウ,维德
192,ノービィ,诺维
193,フリル,芙莉露
194,うらら,乌拉拉
195,メーヌ,梅努
196,ミンク,米努克
197,ロリッタ,洛丽塔
198,もめん,木棉
199,セラフィ,赛拉菲
200,フィアー,菲亚
201,アシェル,阿谢尔
202,ボニー,波妮
203,たつこ,辰子
204,ステイシー,斯泰西
205,リヴィア,莉维亚
206,けろろん＆クルル,克罗罗恩＆库鲁鲁
207,ポニー,小马
208,フローラ,芙萝拉
209,なのは,奈叶
210,ぼたん,牡丹
211,ステファニー,斯蒂芬妮
212,アーサー,亚瑟
213,シーザー,凯撒
214,白波,""
215,キャロル,卡萝尔
216,オデット,奥黛塔
217,トーラ,托特
218,牛魔王,""
219,かすみ,霞
220,月花,""
221,お雪,阿雪
222,たま,小玉
223,かなめ,卡娜美
224,カワコ,川子
225,さくら,樱
226,白蛇様,白蛇大人
227,魅月,""
228,まや,麻耶
229,ツバキ,椿
230,ヤマタノオロチ,八岐大蛇
231,バグスタッフ,魔法学院低级生
232,マギスタンズ,魔法学院高级生
233,メフィスト,梅菲斯特
234,マティス,玛蒂斯
235,シルク,丝露库
236,プランツイン,植物双胞胎
237,アルプランツ,阿娜温们
238,ドローシー,多萝西
239,ラフィ,拉菲
240,ディーナ,迪娜
241,プリエステス,普莉艾丝缇丝
242,プリエステス,普莉艾丝缇丝
243,インセクツ,昆虫娘们
244,ビー,蜜蜂
245,蜜璃亜,蜜璃亚
246,ジェリル,杰里尔
247,ブロブ,布洛布
248,スライミーズ,史莱姆们
249,アント,蚂蚁
250,コッペリア,科佩利亚
251,パイン,阿乳
252,キューラ,库拉
253,デューサ,杜莎
254,あげは,凤蝶
255,ブルーム,布鲁姆
256,エルマ,艾尔玛
257,グールズ,食尸鬼群
258,アルネ,阿尔涅
259,つばさ,翼
260,クリス,克莉丝
261,ノーグ,诺格
262,エメス,艾梅斯
263,ヒナゲシ,虞美人
264,マイス,麦丝
265,はるか,遥
266,ミナモ,美奈萌
267,イヅナ,伊津奈
268,アンティーヌ・アン,安提妮・安
269,ロミ,罗米
270,アルビーナ,阿尔比娜
271,ミリアム,米莉亚姆
272,レーネ,蕾涅
273,サンゴ,珊瑚
274,アスタ,阿斯塔
275,バーバレラ,芭芭蕾拉
276,ストリガ,斯特里加
277,メディア,梅迪亚
278,サマンサ,萨曼莎
279,オーマ,奥玛
280,ポセイドネス,波塞冬尼斯
281,ハーレム,后宫
282,メイ,梅
283,メリッサ,梅丽莎
284,セーラ,塞拉
285,ニーナ,妮娜
286,ウィッチ,女巫
287,サキュバス,魅魔
288,ナターシャ,娜塔莎
289,ラン,兰
290,シルヴィア,希尔维娅
291,シャロン,夏洛特
292,アラディア,阿拉迪亚
293,キャンディ,坎蒂
294,エミリ,艾米莉
295,カサンドラ,卡桑德拉
296,カサンドラ,卡桑德拉
297,バージリン,巴吉琳
298,グランテ,格兰特
299,マージュ,玛吉
300,くれは,克蕾雅
301,虎南,""
302,ヴィルヘルミナ,维尔赫尔米娜
303,ジェライラ,杰莱拉
304,リボ・リボ,莉波・莉波
305,アンフィル,安菲尔
306,ツィンケル,辛克尔
307,アネモ,海百合
308,みお,美绪
309,オーシャン,奥珊
310,ホルン,霍恩
311,シシリー,希希莉
312,サン,桑
313,カルカナ,卡尔卡娜
314,ジェイム,杰姆
315,エアリー,艾尔莉
316,フレイヤ,芙蕾雅
317,アリア,阿莉亚
318,ラシェル,拉谢尔
319,ベラドンナ,贝拉多娜
320,ドリア,多莉亚
321,ドリエ,多莉耶
322,アルルーナ,阿娜露娜
323,ルクレツィア,露克蕾琪亚
324,メリル,梅莉尔
325,ジェシー,杰西
326,ハイネ,海涅
327,エル,艾露
328,ローラ,罗拉
329,クラーケン,克拉肯
330,アラクネーズ,阿拉克涅集团
331,ミズキ,水木
332,アラーニェ,阿拉涅
333,ナクア,纳克亚
334,蜘蛛之皇女,""
335,エビータ,艾薇塔
336,アンヘラ,安吉拉
337,ヴァルヘルト,瓦尔赫尔特
338,カーミラ,卡米拉
339,エリザベート,伊丽莎白
340,ファティマ,法蒂玛
341,リリス＆リリム,莉莉斯＆莉莉姆
342,エスメラルダ,艾斯梅拉达
343,夕霧,夕雾
344,キリン,绮铃
345,蛇骨殿,""
346,ベヒーナ,贝希娜
347,ワーバイン,瓦尔拜因
348,ぎが,巍峨
349,エルザ,厄萨
350,アニー,安妮
351,セシール,塞西尔
352,ヴィーヴィー,薇薇
353,イルマ,艾尔玛
354,クヌート,克努特
355,エンジェルズ,天使们
356,トリニティ,三位一体
357,ウラヌス,乌拉诺斯
358,エリシエル,伊利西艾尔
359,キューピー,丘比
360,ヴィクトリア,维多利亚
361,ヘリエル,海莉艾尔
362,アルシエル,艾尔西艾尔
363,がぶり,伽捕
364,あわわ,阿哇哇
365,ぱたぱた,啪嗒啪嗒
366,まっきー,玛奇
367,ぐるる,咕噜噜
368,フェルナンデス,费尔南德斯
369,フェルナンデス,费尔南德斯
370,タイタニア,缇坦妮雅
371,タイタニア,缇坦妮雅
372,ロザ,罗莎
373,ロザ,罗莎
374,アリア・ラミア,阿莉亚・拉米亚
375,アリア・ラミア,阿莉亚・拉米亚
376,リフレツィア,莉芙蕾琪亚
377,リフレツィア,莉芙蕾琪亚
378,ゼノビア,芝诺比娅
379,ゼノビア,芝诺比娅
382,モリガン,摩莉甘
383,エデン,伊甸
384,エデン,伊甸
385,エデン,伊甸
386,エデン,伊甸
387,エデン,伊甸
388,エデン・トリニティ,伊甸・三位一体
391,メフィスト,梅菲斯特
392,メフィスト,梅菲斯特
393,メフィスト,梅菲斯特
394,アスタロト,阿斯塔洛特
395,リリス,莉莉丝
396,リリスオリジン,莉莉丝起源
397,シオン,锡安
398,シオン,锡安
399,シオン,锡安
400,シオン,锡安
401,グノーシス,格诺西丝
403,ガルダ,加鲁达
404,クローナ,克萝娜
405,ローファ,乐福
406,グロア,格洛亚
407,ポトフ,波托夫
408,ぽんぽこ,蓬蓬可
409,たぬぽん,狸咚
410,どろん,忽隆
411,望月,""
412,隠神刑部,隐神刑部
413,黒狸,黑狸
414,夜の蜻蛉,夜之蜻蛉
415,天音,""
416,燕,""
417,紫陽花,紫阳花
418,蛍,""
419,飛鳥命,飞鸟命
420,八尾,""
