"产物ID","产物名称","产物种类","配方ID","合成方案","中文合成方案","中文产物名称"
"2","ダガー改","武器","3","金币：12；材料：武器 ID 1「ダガー」×1；物品 ID 163「魔葉」×1","金币：12；材料：武器 ID 1「匕首」×1；物品 ID 163「魔叶」×1","匕首改"
"7","洗礼のナイフ改","武器","63","金币：75；材料：武器 ID 6「洗礼のナイフ」×1；物品 ID 173「丈夫な蹄」×1","金币：75；材料：武器 ID 6「洗礼小刀」×1；物品 ID 173「坚固的蹄」×1","洗礼小刀改"
"9","テンプマッシャー","武器","87","金币：120；材料：武器 ID 8「メイジマッシャー」×1；物品 ID 181「淫魔の尻尾」×1","金币：120；材料：武器 ID 8「法师杀手」×1；物品 ID 181「淫魔的尾巴」×1","诱惑杀手"
"13","マインゴーシュ・エア","武器","145","金币：185；材料：武器 ID 10「マインゴーシュ」×1；物品 ID 64「緑風石」×1","金币：185；材料：武器 ID 10「格挡匕首」×1；物品 ID 64「绿风石」×1","格挡匕首・风"
"16","ミセリコルデ・スパイク","武器","178","金币：420；材料：武器 ID 14「ミセリコルデ」×1；物品 ID 191「サボテンの棘」×1","金币：420；材料：武器 ID 14「怜悯之刃」×1；物品 ID 191「仙人掌的刺」×1","怜悯之刃・棘刺"
"18","ゾーリンシェイプ・アース","武器","206","金币：500；材料：武器 ID 15「ゾーリンシェイプ」×1；物品 ID 68「橙土石」×1","金币：500；材料：武器 ID 15「佐林小刀」×1；物品 ID 68「橙土石」×1","佐林小刀・土"
"19","ゾーリンシェイプ・アクア","武器","225","金币：280；材料：武器 ID 15「ゾーリンシェイプ」×1；物品 ID 72「青水石」×1","金币：280；材料：武器 ID 15「佐林小刀」×1；物品 ID 72「青水石」×1","佐林小刀・水"
"22","ケミカルマイン","武器","287","金币：480；材料：武器 ID 10「マインゴーシュ」×1；物品 ID 217「猛毒の針」×1","金币：480；材料：武器 ID 10「格挡匕首」×1；物品 ID 217「猛毒的针」×1","化学格挡匕首"
"25","オリハルコンレッド","武器","333","金币：820；材料：武器 ID 24「オリハルコンナイフ」×1；物品 ID 52「紅炎石」×1","金币：820；材料：武器 ID 24「奥利哈钢制小刀」×1；物品 ID 52「红炎石」×1","奥利哈钢红"
"27","プリズムナイフ・アクア","武器","392","金币：1020；材料：武器 ID 26「プリズムナイフ」×1；物品 ID 73「激流青水石」×1","金币：1020；材料：武器 ID 26「棱镜小刀」×1；物品 ID 73「激流青水石」×1","棱镜小刀・水"
