"产物ID","产物名称","产物种类","配方ID","合成方案","中文合成方案","中文产物名称"
"2102","HPの大秘石","物品","1896","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2101「HPの秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2101「HP的秘石」×2","HP的大秘石"
"2103","HPの超秘石","物品","3019","金币：10000；材料：物品 ID 93「空の超秘石」×1；物品 ID 2102「HPの大秘石」×2","金币：10000；材料：物品 ID 93「空的超秘石」×1；物品 ID 2102「HP的大秘石」×2","HP的超秘石"
"2104","HPの絶秘石","物品","3334","金币：60000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2103「HPの超秘石」×2","金币：60000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2103「HP的超秘石」×2","HP的绝秘石"
"2105","HPの極秘石","物品","3361","金币：200000；材料：物品 ID 95「空の極秘石」×1；物品 ID 2104「HPの絶秘石」×2","金币：200000；材料：物品 ID 95「空的极秘石」×1；物品 ID 2104「HP的绝秘石」×2","HP的极秘石"
"2112","力の大秘石","物品","1899","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2111「力の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2111「力量的秘石」×2","力量的大秘石"
"2113","力の超秘石","物品","3022","金币：10000；材料：物品 ID 93「空の超秘石」×1；物品 ID 2112「力の大秘石」×2","金币：10000；材料：物品 ID 93「空的超秘石」×1；物品 ID 2112「力量的大秘石」×2","力量的超秘石"
"2114","力の絶秘石","物品","3337","金币：60000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2113「力の超秘石」×2","金币：60000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2113「力量的超秘石」×2","力量的绝秘石"
"2115","力の極秘石","物品","3364","金币：200000；材料：物品 ID 95「空の極秘石」×1；物品 ID 2114「力の絶秘石」×2","金币：200000；材料：物品 ID 95「空的极秘石」×1；物品 ID 2114「力量的绝秘石」×2","力量的极秘石"
"2125","狙う者の極秘石","物品","3370","金币：200000；材料：物品 ID 95「空の極秘石」×1；物品 ID 2124「狙う者の絶秘石」×2","金币：200000；材料：物品 ID 95「空的极秘石」×1；物品 ID 2124「瞄准者的绝秘石」×2","瞄准者的极秘石"
"2130","会心の極秘石","物品","3371","金币：200000；材料：物品 ID 95「空の極秘石」×1；物品 ID 2129「会心の絶秘石」×2","金币：200000；材料：物品 ID 95「空的极秘石」×1；物品 ID 2129「会心的绝秘石」×2","会心的极秘石"
