"产物ID","产物名称","产物种类","配方ID","合成方案","中文合成方案","中文产物名称"
"6","エンリカの服＋","防具","103","金币：70；材料：防具 ID 5「エンリカの服」×1；物品 ID 175「蜘蛛の糸」×1","金币：70；材料：防具 ID 5「恩里卡的服装」×1；物品 ID 175「蜘蛛之丝」×1","恩里卡的服装＋"
"9","エンリカの服＋＋","防具","167","金币：330；材料：防具 ID 6「エンリカの服＋」×1；物品 ID 187「涙の宝石」×1","金币：330；材料：防具 ID 6「恩里卡的服装＋」×1；物品 ID 187「泪之宝石」×1","恩里卡的服装＋＋"
"11","エンリカの服＋＋＋","防具","266","金币：180；材料：防具 ID 9「エンリカの服＋＋」×1；物品 ID 209「ふかふかしっぽ」×1","金币：180；材料：防具 ID 9「恩里卡的服装＋＋」×1；物品 ID 209「蓬松的尾巴」×1","恩里卡的服装＋＋＋"
"13","エンリカの服スペシャル","防具","304","金币：280；材料：防具 ID 11「エンリカの服＋＋＋」×1；物品 ID 216「不思議な葉っぱ」×1","金币：280；材料：防具 ID 11「恩里卡的服装＋＋＋」×1；物品 ID 216「不可思议的叶子」×1","恩里卡的服装特别版"
"14","エンリカ・ベイルン","防具","378","金币：450；材料：防具 ID 13「エンリカの服スペシャル」×1；物品 ID 227「輝く羽根」×1","金币：450；材料：防具 ID 13「恩里卡的服装特别版」×1；物品 ID 227「闪耀的羽毛」×1","恩里卡・贝伦"
"15","パンデモニウム","防具","452","金币：780；材料：防具 ID 14「エンリカ・ベイルン」×1；物品 ID 241「天使の羽根」×1","金币：780；材料：防具 ID 14「恩里卡・贝伦」×1；物品 ID 241「天使的羽毛」×1","万魔殿"
"21","忍びの衣改","防具","79","金币：110；材料：防具 ID 20「忍びの衣」×1；物品 ID 175「蜘蛛の糸」×1","金币：110；材料：防具 ID 20「忍者的衣服」×1；物品 ID 175「蜘蛛之丝」×1","忍者的衣服改"
"26","紅蓮武神闘衣","防具","347","金币：550；材料：防具 ID 25「武神の闘衣」×1；物品 ID 52「紅炎石」×1","金币：550；材料：防具 ID 25「武神斗衣」×1；物品 ID 52「红炎石」×1","红莲武神斗衣"
"27","天使闘衣","防具","453","金币：880；材料：防具 ID 26「紅蓮武神闘衣」×1；物品 ID 241「天使の羽根」×1","金币：880；材料：防具 ID 26「红莲武神斗衣」×1；物品 ID 241「天使的羽毛」×1","天使斗衣"
"28","覇竜闘衣","防具","497","金币：3500；材料：防具 ID 27「天使闘衣」×1；物品 ID 247「覇竜の牙」×1","金币：3500；材料：防具 ID 27「天使斗衣」×1；物品 ID 247「霸龙的牙齿」×1","霸龙斗衣"
