ID,名称,中文名称
1,ヤマタイアマビエ,邪马台尼彦
2,フィールド,野外
3,秘密のテント,秘密帐篷
4,町・村,城镇・村庄
5,イリアス神殿1F,伊莉娅丝神殿1F
6,イリアスヴィル屋内,伊莉娅丝村室内
7,イリアスヴィル,伊莉娅丝村
8,イリアス神殿,伊莉娅丝神殿
9,ダンジョン,迷宫
10,自然ダンジョン,自然迷宫
11,ラダイト村,拉达伊特村
12,イリアスヴィルの裏山,伊莉娅丝村后山
13,モンテカルロ,蒙特卡洛
14,ヤマタイアマビエ2,""
15,転送のほこら,传送圣坛
16,孤独の地,孤独之地
17,サルーン廃鉱 1F,萨伦废矿 1F
18,サルーン廃鉱 B1F,萨伦废矿 B1F
19,雪のほこら,雪之祠堂
20,建物・施設,建筑物・设施
21,グランドノア,格兰德诺亚
22,グランドノア屋内,格兰德诺亚室内
23,貴婦人の村,贵妇人村
24,貴婦人の村屋内,贵妇人村室内
25,フィノア,菲诺亚
26,フィノア屋内,菲诺亚室内
27,サン・イリア,圣・伊莉娅
28,サン・イリア屋内,圣・伊莉娅室内
29,イリアスベルク,伊莉娅丝堡
30,イリアスベルク屋内,伊莉娅丝堡室内
31,ミダス村,米达斯村
32,ミダス村屋内,米达斯村室内
33,エスタ,埃斯塔
34,エスタ屋内,埃斯塔室内
35,エンリカ,恩里卡
36,エンリカ屋内,恩里卡室内
37,グランゴルド,格兰戈尔德
38,グランゴルド屋内,格兰戈尔德室内
39,マールポート,马尔港
40,マールポート屋内,马尔港室内
41,スノウヘブン,雪之天堂
42,スノウヘブン屋内,雪之天堂室内
43,サルーン,萨伦
44,サルーン屋内,萨伦室内
45,サキュバスの村,魅魔村
46,サキュバスの村屋内,魅魔村室内
47,ルビアナ,鲁比亚纳
48,ルビアナ屋内,鲁比亚纳室内
49,ゴッダール,戈达尔
50,ゴッダール屋内,戈达尔室内
51,ポルノフ,波尔诺夫
52,ポルノフ屋内,波尔诺夫室内
53,ヤマタイ村,邪马台村
54,ヤマタイ村屋内,邪马台村室内
55,リマ村廃墟,利马村废墟
56,リマ村廃墟屋内,利马村废墟室内
57,ロストルム村,洛斯托鲁姆村
58,ロストルム村屋内,洛斯托鲁姆村室内
59,天界墜落,天界坠落
