"技能ID","日文名称","日文所属","日文说明","可学习职业（日文，含等级）","可学习种族（日文，含等级）","HP消耗","MP消耗","SP消耗（内部TP）","中文名称","中文所属","中文说明","可学习职业（中文，含等级）","可学习种族（中文，含等级）","技能类型ID"
"1","攻撃","未分类技能","敵単体にダメージを与える","","","0","0","0","攻击","未分类技能","对单体敌人造成伤害","","","0"
"2","防御","未分类技能","身を守ることに専念し、受けるダメージを抑える","","","0","0","0","防御","未分类技能","专心防御，减少受到的伤害","","","0"
"3","乱れ撃ち","未分类技能","ランダムで4回ダメージを与える","","","0","0","0","乱击","未分类技能","随机造成4次伤害","","","0"
"4","皆伝乱れ撃ち","未分类技能","ランダムで8回ダメージを与える","","","0","0","0","皆传乱击","未分类技能","随机造成8次伤害","","","0"
"5","全体攻撃","未分类技能","敵全体にダメージを与える","","","0","0","0","全体攻击","未分类技能","对全体敌人造成伤害","","","0"
"6","魔導撃","未分类技能","MPを消費し敵単体に大ダメージを与える","","","0","5","0","魔导击","未分类技能","消耗MP对单体敌人造成大量伤害","","","0"
"7","ドレインアタック","未分类技能","敵単体にダメージを与え、体力を吸収する","","","0","0","0","吸血攻击","未分类技能","对单体敌人造成伤害并吸收体力","","","0"
"8","吸魔撃","未分类技能","MPを吸収する打撃攻撃","","","0","0","0","吸魔击","未分类技能","吸收MP的打击攻击","","","0"
"9","捨身撃","未分类技能","捨て身の攻撃で敵単体に大ダメージを与える","","","0","0","0","舍身击","未分类技能","舍身的攻击对单体敌人造成大量伤害","","","0"
"10","リベンジアタック","未分类技能","敵単体にダメージを与える
戦闘不能になっている味方の数だけ威力が増す","","","0","0","0","复仇攻击","未分类技能","对单体敌人造成伤害
根据战斗不能的队友数量增加威力","","","0"
"11","暗黒","闇技","敵単体に闇の力を用いた大ダメージを与える
しかしその代償に最大HPの2%を消費","","","2%当前HP","0","0","黑暗","暗技","对单体敌人使用黑暗力量造成大伤害
但代价是消耗最大HP的2%","","","27"
"12","ぶんどる","未分类技能","威力：Ｅ　対象：敵単体　効果：盗む
攻撃と同時にアイテムを盗む","","","0","0","0","抢夺","未分类技能","威力：Ｅ　対象：敵単体　効果：盗む
攻击的同时偷窃物品","","","0"
"13","でたらめ攻撃","未分类技能","敵味方ランダム3体を攻撃、SP40%回復","","","0","0","0","胡乱攻击","未分类技能","随机攻击敌我双方3体，SP恢复40%","","","0"
"14","ゴールド獲得","未分类技能","防具1162","","","0","0","0","金币获取","未分类技能","防具1162","","","0"
"15","アイテム獲得","未分类技能","防具1164","","","0","0","0","物品获取","未分类技能","防具1164","","","0"
"16","高級アイテム獲得","未分类技能","防具1165","","","0","0","0","高级物品获取","未分类技能","防具1165","","","0"
"17","レアアイテム獲得","未分类技能","防具1166","","","0","0","0","稀有物品获取","未分类技能","防具1166","","","0"
"18","遺言","未分类技能","防具1167","","","0","0","0","遗言","未分类技能","防具1167","","","0"
"19","道連れBC兵器","未分类技能","防具1168","","","0","0","0","同归于尽BC兵器","未分类技能","防具1168","","","0"
"20","末期の奉仕","未分类技能","防具1169","","","0","0","0","末期的侍奉","未分类技能","防具1169","","","0"
"21","メイドの土産","未分类技能","防具1170","","","0","0","0","女仆的礼物","未分类技能","防具1170","","","0"
"22","聖者殉教","未分类技能","防具1172
仲間全回復復活","","","0","0","0","圣者殉教","未分类技能","防具1172
同伴全回复复活","","","0"
"23","聖者玉砕","王技","威力：Ｓ　対象：敵全体　属性：炎・聖
防具1173","","","0","0","0","圣者玉碎","王技","威力：Ｓ　対象：敵全体　属性：炎・聖
防具1173","","","47"
"24","魅惑のエロス","未分类技能","防具636,7058","","","0","0","0","魅惑的色欲","未分类技能","防具636,7058","","","0"
"25","粘液カウンター","粘液技","威力：Ｅ　対象：敵単体　属性：快楽　効果：ヌルヌル
防具1175","","","0","0","0","粘液反击","粘液技","威力：Ｅ　対象：敵単体　属性：快楽　効果：ヌルヌル
防具1175","","","52"
"26","消化粘液カウンター","粘液技","威力：Ｄ　対象：敵単体　属性：快楽　効果：消化
防具1176、ステート235","","","0","0","0","消化粘液反击","粘液技","威力：Ｄ　対象：敵単体　属性：快楽　効果：消化
防具1176、ステート235","","","52"
"27","振動装甲","虫技","威力：Ｃ　対象：敵全体
防具1178、アクター572","","","0","0","0","振动装甲","虫技","威力：Ｃ　対象：敵全体
防具1178、アクター572","","","57"
"28","遊ぶ","未分类技能","職業92:遊び人<行動変化 28-50>","","","0","0","0","玩","未分类技能","職業92:遊び人<行動変化 28-50>","","","0"
"29","ヌルヌル粘液","粘液技","威力：Ｅ　対象：敵単体　属性：快楽　効果：ヌルヌル","","","0","0","0","黏滑粘液","粘液技","威力：Ｅ　対象：敵単体　属性：快楽　効果：ヌルヌル","","","52"
"30","一掃の居合い","未分类技能","防具1179","","","0","0","0","一扫而空的一刀","未分类技能","防具1179","","","0"
"31","必滅の居合い","未分类技能","防具1180","","","0","0","0","必灭的一刀","未分类技能","防具1180","","","0"
"32","出会い頭のおたけび","未分类技能","防具1181","","","0","0","0","初次见面的呐喊","未分类技能","防具1181","","","0"
"33","獣王の畏怖","未分类技能","防具1182","","","0","0","0","兽王的敬畏","未分类技能","防具1182","","","0"
"34","開幕びっくり箱","未分类技能","防具1183","","","0","0","0","开场惊吓箱","未分类技能","防具1183","","","0"
