"大分类","技能类型ID","技能类型名称","技能类型中文名称","该类型技能数量","分类依据与备注"
"能力","1","戦技アビリティ","战技能力","774","游戏脚本 NWConst::Ability::ABILITY_SKILL_TYPE 明确指定类型ID 1-5。"
"能力","2","職技アビリティ","职技能力","546","游戏脚本 NWConst::Ability::ABILITY_SKILL_TYPE 明确指定类型ID 1-5。"
"能力","3","魔法アビリティ","魔法能力","519","游戏脚本 NWConst::Ability::ABILITY_SKILL_TYPE 明确指定类型ID 1-5。"
"能力","4","防御アビリティ","防御能力","407","游戏脚本 NWConst::Ability::ABILITY_SKILL_TYPE 明确指定类型ID 1-5。"
"能力","5","特殊アビリティ","特殊能力","1085","游戏脚本 NWConst::Ability::ABILITY_SKILL_TYPE 明确指定类型ID 1-5。"
"武技","6","短剣技","短剑技","17","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","7","剣技","剑技","89","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","8","尖剣技","尖剑技","29","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","9","刀技","","40","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","10","槍技","枪技","74","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","11","斧技","","24","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","12","棍技","","33","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","13","鎌技","镰技","29","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","14","弓技","","63","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","15","鞭技","","36","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","16","投擲技","投掷技","39","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","17","鉄球技","铁球技","25","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","18","扇技","","30","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","19","銃技","铳技","44","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","20","多武器技","","24","职业7062的全武技效果明确覆盖类型ID 6-21。"
"武技","21","格闘","格斗","87","职业7062的全武技效果明确覆盖类型ID 6-21。"
"魔法","22","白魔法","","75","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
