"大分类","技能类型ID","技能类型名称","技能类型中文名称","技能ID","技能名称","技能中文名称"
"能力","1","戦技アビリティ","战技能力","52","もがく","挣扎"
"能力","1","戦技アビリティ","战技能力","61","HP10%アップ","HP提升10%"
"能力","1","戦技アビリティ","战技能力","62","HP20%アップ","HP提升20%"
"能力","1","戦技アビリティ","战技能力","63","HP30%アップ","HP提升30%"
"能力","1","戦技アビリティ","战技能力","64","HP40%アップ","HP提升40%"
"能力","1","戦技アビリティ","战技能力","65","HP50%アップ","HP提升50%"
"能力","1","戦技アビリティ","战技能力","66","攻撃力10%アップ","攻击力提升10%"
"能力","1","戦技アビリティ","战技能力","67","攻撃力20%アップ","攻击力提升20%"
"能力","1","戦技アビリティ","战技能力","68","攻撃力30%アップ","攻击力提升30%"
"能力","1","戦技アビリティ","战技能力","69","攻撃力40%アップ","攻击力提升40%"
"能力","1","戦技アビリティ","战技能力","70","攻撃力50%アップ","攻击力提升50%"
"能力","1","戦技アビリティ","战技能力","71","命中率5%アップ","命中率提升5%"
"能力","1","戦技アビリティ","战技能力","72","命中率10%アップ","命中率提升10%"
"能力","1","戦技アビリティ","战技能力","73","命中率20%アップ","命中率提升20%"
"能力","1","戦技アビリティ","战技能力","74","完全必中",""
"能力","1","戦技アビリティ","战技能力","75","会心10%",""
"能力","1","戦技アビリティ","战技能力","76","会心30%",""
"能力","1","戦技アビリティ","战技能力","77","会心50%",""
"能力","1","戦技アビリティ","战技能力","78","完全会心",""
"能力","1","戦技アビリティ","战技能力","79","瀕死時会心アップ","濒死时会心提升"
"能力","1","戦技アビリティ","战技能力","80","瀕死時絶対会心","濒死时绝对会心"
"能力","1","戦技アビリティ","战技能力","81","カウンター10%","反击10%"
"能力","1","戦技アビリティ","战技能力","82","カウンター30%","反击30%"
"能力","1","戦技アビリティ","战技能力","83","カウンター50%","反击50%"
"能力","1","戦技アビリティ","战技能力","84","完全カウンター","完全反击"
"能力","1","戦技アビリティ","战技能力","85","魔法カウンター10%","魔法反击10%"
"能力","1","戦技アビリティ","战技能力","86","魔法カウンター30%","魔法反击30%"
"能力","1","戦技アビリティ","战技能力","87","魔法カウンター50%","魔法反击50%"
"能力","1","戦技アビリティ","战技能力","88","完全魔法カウンター","完全魔法反击"
"能力","1","戦技アビリティ","战技能力","89","究極カウンター","究极反击"
"能力","1","戦技アビリティ","战技能力","90","反撃ミニブースター","反击小增强"
"能力","1","戦技アビリティ","战技能力","91","反撃ブースター","反击增强"
"能力","1","戦技アビリティ","战技能力","92","粘液カウンター","粘液反击"
"能力","1","戦技アビリティ","战技能力","93","消化粘液カウンター","消化粘液反击"
"能力","1","戦技アビリティ","战技能力","94","不屈の闘志","不屈的斗志"
"能力","1","戦技アビリティ","战技能力","95","超不屈の闘志","超不屈的斗志"
"能力","1","戦技アビリティ","战技能力","96","ランブル","狂乱"
"能力","1","戦技アビリティ","战技能力","97","ウォーランブル","战争狂乱"
"能力","1","戦技アビリティ","战技能力","98","孤独ゆえの強さ","因孤独而强大"
"能力","1","戦技アビリティ","战技能力","99","超孤独ゆえの強さ","超因孤独而强大"
"能力","1","戦技アビリティ","战技能力","100","二回攻撃","两次攻击"
"能力","1","戦技アビリティ","战技能力","101","三回攻撃","三次攻击"
"能力","1","戦技アビリティ","战技能力","102","乱れ撃ち","乱击"
"能力","1","戦技アビリティ","战技能力","103","皆伝乱れ撃ち","皆传乱击"
"能力","1","戦技アビリティ","战技能力","104","全体攻撃","全体攻击"
"能力","1","戦技アビリティ","战技能力","105","捨身撃","舍身击"
"能力","1","戦技アビリティ","战技能力","106","魔導撃","魔导击"
"能力","1","戦技アビリティ","战技能力","107","リベンジアタック","复仇攻击"
"能力","1","戦技アビリティ","战技能力","108","ドレインアタック","吸血攻击"
"能力","1","戦技アビリティ","战技能力","109","吸魔撃","吸魔击"
"能力","1","戦技アビリティ","战技能力","110","暗黒","黑暗"
"能力","1","戦技アビリティ","战技能力","111","でたらめ攻撃","胡乱攻击"
"能力","1","戦技アビリティ","战技能力","112","一掃の居合い","一扫而空的一刀"
"能力","1","戦技アビリティ","战技能力","113","必滅の居合い","必灭的一刀"
"能力","1","戦技アビリティ","战技能力","115","人間特攻","人类特攻"
"能力","1","戦技アビリティ","战技能力","116","妖魔特攻",""
"能力","1","戦技アビリティ","战技能力","117","亜人特攻","亚人特攻"
"能力","1","戦技アビリティ","战技能力","118","淫魔特攻",""
"能力","1","戦技アビリティ","战技能力","119","吸血鬼特攻",""
"能力","1","戦技アビリティ","战技能力","120","人魚特攻","人鱼特攻"
"能力","1","戦技アビリティ","战技能力","121","エルフ特攻","精灵特攻"
"能力","1","戦技アビリティ","战技能力","122","妖精特攻",""
"能力","1","戦技アビリティ","战技能力","123","スライム特攻","史莱姆特攻"
"能力","1","戦技アビリティ","战技能力","124","魔獣特攻","魔兽特攻"
"能力","1","戦技アビリティ","战技能力","125","妖狐特攻",""
"能力","1","戦技アビリティ","战技能力","126","ラミア特攻","拉米亚特攻"
"能力","1","戦技アビリティ","战技能力","127","スキュラ特攻","斯库拉特攻"
"能力","1","戦技アビリティ","战技能力","128","ハーピー特攻","对哈比特攻"
"能力","1","戦技アビリティ","战技能力","129","竜特攻","龙特攻"
"能力","1","戦技アビリティ","战技能力","130","陸棲種特攻","陆栖种特攻"
"能力","1","戦技アビリティ","战技能力","131","海棲種特攻","海栖种特攻"
"能力","1","戦技アビリティ","战技能力","132","虫特攻",""
"能力","1","戦技アビリティ","战技能力","133","植物特攻",""
"能力","1","戦技アビリティ","战技能力","134","ゾンビ特攻","僵尸特攻"
"能力","1","戦技アビリティ","战技能力","135","ゴースト特攻","幽灵特攻"
"能力","1","戦技アビリティ","战技能力","136","ドール特攻","人偶特攻"
"能力","1","戦技アビリティ","战技能力","137","キメラ特攻","奇美拉特攻"
"能力","1","戦技アビリティ","战技能力","138","天使特攻",""
"能力","1","戦技アビリティ","战技能力","139","巨体特攻",""
"能力","1","戦技アビリティ","战技能力","140","炎属性付加","炎属性附加"
"能力","1","戦技アビリティ","战技能力","141","氷属性付加","冰属性附加"
"能力","1","戦技アビリティ","战技能力","142","雷属性付加","雷属性附加"
"能力","1","戦技アビリティ","战技能力","143","風属性付加","风属性附加"
"能力","1","戦技アビリティ","战技能力","144","土属性付加","土属性附加"
"能力","1","戦技アビリティ","战技能力","145","水属性付加","水属性附加"
"能力","1","戦技アビリティ","战技能力","146","聖属性付加","圣属性附加"
"能力","1","戦技アビリティ","战技能力","147","闇属性付加","暗属性附加"
"能力","1","戦技アビリティ","战技能力","148","音波属性付加","音波属性附加"
"能力","1","戦技アビリティ","战技能力","149","バイオ属性付加","生化属性附加"
"能力","1","戦技アビリティ","战技能力","150","快楽属性付加","快乐属性附加"
"能力","1","戦技アビリティ","战技能力","151","物理ブースター","物理增强"
"能力","1","戦技アビリティ","战技能力","152","物理ハイブースター","物理高级增强"
"能力","1","戦技アビリティ","战技能力","153","物理エクスブースター","物理极限增强"
"能力","1","戦技アビリティ","战技能力","154","種族特攻ブースター","种族特攻增强"
"能力","1","戦技アビリティ","战技能力","155","種族特攻ハイブースター","种族特攻高级增强"
"能力","1","戦技アビリティ","战技能力","156","種族特攻エクスブースター","种族特攻极限增强"
"能力","1","戦技アビリティ","战技能力","157","通常攻撃ミニブースター","普通攻击小增强"
"能力","1","戦技アビリティ","战技能力","158","通常攻撃ブースター","普通攻击增强"
"能力","1","戦技アビリティ","战技能力","159","通常攻撃ハイブースター","普通攻击高级增强"
"能力","1","戦技アビリティ","战技能力","160","短剣ブースター","短剑增强"
"能力","1","戦技アビリティ","战技能力","161","短剣ハイブースター","短剑高级增强"
"能力","1","戦技アビリティ","战技能力","162","短剣エクスブースター","短剑极限增强"
"能力","1","戦技アビリティ","战技能力","163","剣ブースター","剑增强"
"能力","1","戦技アビリティ","战技能力","164","剣ハイブースター","剑高级增强"
