ID,名称,中文名称
1,スライム娘,史莱姆娘
2,バニースライム娘,兔子史莱姆娘
3,バニースライム娘,兔子史莱姆娘
4,ナメクジ娘,蛞蝓娘
5,インプ,小恶魔
6,マンドラゴラ娘,曼德拉娘
7,犬娘,犬娘
8,ミミズ娘,蚯蚓娘
9,ゴブリン娘,哥布林娘
10,プチラミア,迷你拉米亚
11,ヴァンパイアガール,萝莉吸血鬼
12,ドラゴンパピー,迷你龙
13,ネズミ娘,鼠娘
14,狼娘,狼娘
15,フェニックス娘,凤凰娘
16,ヒル娘,水蛭娘
17,ウサギ娘,兔娘
18,羊娘,""
19,シュリー,修莉
20,ジェイド,杰伊德
21,シェスタ,谢丝塔
22,？？？,""
23,オーク娘,兽人娘
24,ミツバチ娘,蜜蜂娘
25,スズメ娘,麻雀娘
26,ハーピー,哈比
27,ハーピーツインズ,哈比姐妹
28,クィーンハーピー,哈比女王
29,ハイスラッグ娘,高阶蛞蝓娘
30,ナメクジシスター,蛞蝓修女
31,スラグスターズ,蛞蝓群星
32,ジャックオーランタン,杰克灯笼
33,ローパー娘,树绳妖娘
34,メーダ娘,梅达娘
35,キャンドル娘,蜡烛娘
36,イーター,伊塔
37,ライオット,莱奥特
38,ルクスル,露克斯
39,ダークエルフ,暗精灵
40,ダークエルフ,暗精灵
41,フェアリー,妖精
42,ミニカニ娘,迷你蟹娘
43,ナマズ娘,鲶鱼娘
44,ラフレシア娘,霸王花娘
45,セントール,半人马
46,銀狐二尾,银狐二尾
47,かむろ二尾,神室二尾
48,クモ娘,蜘蛛娘
49,ミミック娘,宝箱娘
50,七尾,""
51,モリガン,摩莉甘
52,ナマコ娘,海参娘
53,貝娘,贝娘
54,カニ娘,螃蟹娘
55,スライムベス娘,史莱姆贝丝娘
56,スイカ娘,西瓜娘
57,ウツボカズラ娘,猪笼草娘
58,ラミア,拉米亚
59,ワカメ娘,裙带菜娘
60,クラゲ娘,海蜇娘
61,イソギンチャク娘,海葵娘
62,アンコウ娘,鮟鱇鱼娘
63,メイア,梅尔
64,17ページ,17页
65,257ページ,257页
66,65537ページ,65537页
67,シスターラミア,修女拉米亚
68,シスキュバス,修女魅魔
69,アリクイ娘,食蚁兽娘
70,グリズリー娘,灰熊娘
