"敌人ID","日本敌人名称","入队概率分母","基础入队概率","队友ID","日本队友名称","中文敌人名称","中文队友名称"
"3","バニースライム娘","1","1/1（100.00%）","54","うさ","兔子史莱姆娘","小兔子"
"4","ナメクジ娘","2","1/2（50.00%）","55","メルク","蛞蝓娘","梅尔克"
"5","インプ","2","1/2（50.00%）","56","ラミ","小恶魔","拉米"
"6","マンドラゴラ娘","3","1/3（33.33%）","59","ラゴラ","曼德拉娘","拉戈拉"
"7","犬娘","3","1/3（33.33%）","60","ポチ","犬娘","波奇"
"8","ミミズ娘","3","1/3（33.33%）","61","ミミー","蚯蚓娘","米米"
"13","ネズミ娘","3","1/3（33.33%）","70","ラティ","鼠娘","拉蒂"
"14","狼娘","2","1/2（50.00%）","71","アマラ","狼娘","阿玛拉"
"16","ヒル娘","3","1/3（33.33%）","73","ヒル","水蛭娘","希尔"
"17","ウサギ娘","1","1/1（100.00%）","74","バーニー","兔娘","巴妮"
"18","羊娘","2","1/2（50.00%）","75","メリー","羊娘","梅丽"
"19","シュリー","4","1/4（25.00%）","76","シュリー","修莉","修莉"
"20","ジェイド","4","1/4（25.00%）","77","ジェイド","杰伊德","杰伊德"
"21","シェスタ","4","1/4（25.00%）","78","シェスタ","谢丝塔","谢丝塔"
"23","オーク娘","2","1/2（50.00%）","80","ヒップ","兽人娘","臀部"
"24","ミツバチ娘","2","1/2（50.00%）","81","ハニー","蜜蜂娘","甜心"
"25","スズメ娘","2","1/2（50.00%）","82","ちゅん","麻雀娘","鹑"
"26","ハーピー","2","1/2（50.00%）","83","レイナ","哈比","蕾娜"
"27","ハーピーツインズ","3","1/3（33.33%）","84","ピナ＆ピィ","哈比姐妹","皮娜＆皮伊"
"29","ハイスラッグ娘","3","1/3（33.33%）","85","エリザベス","高阶蛞蝓娘","艾利莎贝"
"30","ナメクジシスター","4","1/4（25.00%）","86","ロザリオ","蛞蝓修女","罗莎莉奥"
"32","ジャックオーランタン","2","1/2（50.00%）","88","かぼちゃ","杰克灯笼","南瓜"
"33","ローパー娘","4","1/4（25.00%）","89","シンディ","树绳妖娘","辛蒂"
"34","メーダ娘","4","1/4（25.00%）","90","メルメル","梅达娘","梅鲁梅鲁"
"35","キャンドル娘","4","1/4（25.00%）","91","キャンドラ","蜡烛娘","坎德拉"
"36","イーター","4","1/4（25.00%）","92","イーター","伊塔","伊塔"
"37","ライオット","4","1/4（25.00%）","93","ライオット","莱奥特","莱奥特"
"38","ルクスル","4","1/4（25.00%）","94","ルクスル","露克斯","露克斯"
"39","ダークエルフ","3","1/3（33.33%）","95","ロナ","暗精灵","罗娜"
"40","ダークエルフ","4","1/4（25.00%）","96","マリオン","暗精灵","玛丽昂"
"41","フェアリー","2","1/2（50.00%）","97","フェル","妖精","菲尔"
"42","ミニカニ娘","4","1/4（25.00%）","98","エイミ","迷你蟹娘","艾米"
"43","ナマズ娘","4","1/4（25.00%）","99","ギギ","鲶鱼娘","吉吉"
"44","ラフレシア娘","4","1/4（25.00%）","100","フレシア","霸王花娘","芙莉西亚"
"45","セントール","2","1/2（50.00%）","101","リヒティーヌ","半人马","莉希蒂娜"
"46","銀狐二尾","2","1/2（50.00%）","102","きつね","银狐二尾","狐狸"
"47","かむろ二尾","2","1/2（50.00%）","103","かむろ","神室二尾","神室"
"48","クモ娘","5","1/5（20.00%）","104","ラクネ","蜘蛛娘","拉克涅"
"49","ミミック娘","5","1/5（20.00%）","105","ミネリ","宝箱娘","米内莉"
"52","ナマコ娘","4","1/4（25.00%）","107","ユメ","海参娘","梦"
"53","貝娘","4","1/4（25.00%）","108","シェリー","贝娘","雪莉"
"54","カニ娘","3","1/3（33.33%）","109","ソープ","螃蟹娘","索普"
"55","スライムベス娘","2","1/2（50.00%）","110","ベス","史莱姆贝丝娘","贝丝"
