"敌人ID","日本敌人名称","入队概率分母","基础入队概率","关联角色ID","日本角色名称","Faces路径","Faces索引","Battlers路径","敌人Cut-inPictures路径","角色Cut-inPictures路径","中文敌人名称","中文角色名称"
"3","バニースライム娘","1","1/1（100.00%）","54","うさ","Graphics/Faces/bunnyslime_fc1","0","Graphics/Battlers/50_bunnyslime_st01","","Graphics/Pictures/80_bunnyslime_st01；Graphics/Pictures/ct_bunnyslime1","兔子史莱姆娘","小兔子"
"4","ナメクジ娘","2","1/2（50.00%）","55","メルク","Graphics/Faces/name_fc1","2","Graphics/Battlers/50_name_st11","","Graphics/Pictures/ct_name1","蛞蝓娘","梅尔克"
"5","インプ","2","1/2（50.00%）","56","ラミ","Graphics/Faces/inp_fc1","0","Graphics/Battlers/50_inp_st01","Graphics/Pictures/ct_inp1","Graphics/Pictures/ct_inp1","小恶魔","拉米"
"6","マンドラゴラ娘","3","1/3（33.33%）","59","ラゴラ","Graphics/Faces/mdg_fc1","0","Graphics/Battlers/50_mdg_st01","","Graphics/Pictures/ct_mdg1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","曼德拉娘","拉戈拉"
"7","犬娘","3","1/3（33.33%）","60","ポチ","Graphics/Faces/dog_fc1","0","Graphics/Battlers/50_dog_st01","","Graphics/Pictures/80_dog_st01","犬娘","波奇"
"8","ミミズ娘","3","1/3（33.33%）","61","ミミー","Graphics/Faces/mimizu_fc1","0","Graphics/Battlers/50_mimizu_st01","","Graphics/Pictures/ct_mimizu1","蚯蚓娘","米米"
"13","ネズミ娘","3","1/3（33.33%）","70","ラティ","Graphics/Faces/nezumi_fc1","0","Graphics/Battlers/50_nezumi_st01","Graphics/Pictures/80_nezumi_st01","Graphics/Pictures/80_nezumi_st01","鼠娘","拉蒂"
"14","狼娘","2","1/2（50.00%）","71","アマラ","Graphics/Faces/okami_fc1","0","Graphics/Battlers/50_okami_st01","Graphics/Pictures/ct_okami1","Graphics/Pictures/ct_okami1","狼娘","阿玛拉"
"16","ヒル娘","3","1/3（33.33%）","73","ヒル","Graphics/Faces/hiru_fc1","0","Graphics/Battlers/50_hiru_st01","","Graphics/Pictures/ct_hirum1","水蛭娘","希尔"
"17","ウサギ娘","1","1/1（100.00%）","74","バーニー","Graphics/Faces/usagi_fc1","0","Graphics/Battlers/50_usagi_st01","Graphics/Pictures/ct_usagi1","Graphics/Pictures/ct_usagi1","兔娘","巴妮"
