"怪物ID","怪物名字","物品类型","物品ID","物品名字","获取方式","中文怪物名字","中文物品名字"
"1","スライム娘","物品","1","薬草","掉落","史莱姆娘","药草"
"1","スライム娘","物品","322","さかな","掉落","史莱姆娘","鱼"
"1","スライム娘","物品","160","ぷるぷるゼリー","掉落","史莱姆娘","弹弹果冻"
"1","スライム娘","物品","1","薬草","可偷物品","史莱姆娘","药草"
"1","スライム娘","武器","657","ブーメラン","可偷物品","史莱姆娘","回旋镖"
"1","スライム娘","物品","322","さかな","可偷食材","史莱姆娘","鱼"
"1","スライム娘","物品","160","ぷるぷるゼリー","可偷素材","史莱姆娘","弹弹果冻"
"1","スライム娘","物品","1001","スライム娘のミルク","可偷牛奶","史莱姆娘","史莱姆娘的乳汁"
"2","バニースライム娘","物品","1","薬草","掉落","兔子史莱姆娘","药草"
"2","バニースライム娘","物品","160","ぷるぷるゼリー","掉落","兔子史莱姆娘","弹弹果冻"
"2","バニースライム娘","物品","310","にんじん","掉落","兔子史莱姆娘","胡萝卜"
"2","バニースライム娘","物品","1002","バニースライム娘のミルク","可偷牛奶","兔子史莱姆娘","兔子史莱姆娘的乳汁"
"3","バニースライム娘","物品","1","薬草","掉落","兔子史莱姆娘","药草"
"3","バニースライム娘","物品","310","にんじん","掉落","兔子史莱姆娘","胡萝卜"
"3","バニースライム娘","物品","160","ぷるぷるゼリー","掉落","兔子史莱姆娘","弹弹果冻"
"3","バニースライム娘","物品","1","薬草","可偷物品","兔子史莱姆娘","药草"
"3","バニースライム娘","防具","1175","スライムコア","可偷物品","兔子史莱姆娘","史莱姆核心"
"3","バニースライム娘","物品","310","にんじん","可偷食材","兔子史莱姆娘","胡萝卜"
"3","バニースライム娘","物品","160","ぷるぷるゼリー","可偷素材","兔子史莱姆娘","弹弹果冻"
"3","バニースライム娘","物品","1002","バニースライム娘のミルク","可偷牛奶","兔子史莱姆娘","兔子史莱姆娘的乳汁"
"4","ナメクジ娘","物品","13","毒消し草","掉落","蛞蝓娘","解毒草"
"4","ナメクジ娘","物品","309","レタス","掉落","蛞蝓娘","生菜"
"4","ナメクジ娘","物品","161","ヌルヌル粘液","掉落","蛞蝓娘","黏滑粘液"
"4","ナメクジ娘","物品","13","毒消し草","可偷物品","蛞蝓娘","解毒草"
"4","ナメクジ娘","防具","1026","イヤリング","可偷物品","蛞蝓娘","耳环"
"4","ナメクジ娘","物品","309","レタス","可偷食材","蛞蝓娘","生菜"
"4","ナメクジ娘","物品","161","ヌルヌル粘液","可偷素材","蛞蝓娘","黏滑粘液"
"4","ナメクジ娘","防具","1801","ネバネバパンツ","可偷内裤","蛞蝓娘","黏糊糊内裤"
"4","ナメクジ娘","物品","1004","ナメクジ娘のミルク","可偷牛奶","蛞蝓娘","蛞蝓娘的乳汁"
"5","インプ","物品","1","薬草","掉落","小恶魔","药草"
"5","インプ","物品","162","インプの尻尾","掉落","小恶魔","小恶魔的尾巴"
"5","インプ","物品","357","サンドウイッチ","掉落","小恶魔","三明治"
"5","インプ","物品","1","薬草","可偷物品","小恶魔","药草"
