ID,名称,中文名称
1,薬草,药草
2,高級薬草,高级药草
3,究極薬草,究极药草
4,霊薬,灵药
5,エルフの霊薬,精灵的灵药
6,イリアスの霊薬,伊莉娅丝的灵药
7,ブーストドリンク,能量饮料
8,バーストドリンク,爆发饮料
9,エリクサー,圣灵药
10,ラストエリクサー,最终圣灵药
11,フェニックスの尾,凤凰之尾
12,世界樹の葉,世界树之叶
13,毒消し草,解毒草
14,目薬,眼药水
15,山彦草,""
16,気付け薬,提神药
17,満月草,满月草
18,打出の小槌,打出的小槌
19,聖水,圣水
20,金の針,金针
21,脱淫薬,脱淫药
22,万能薬,万能药
23,ハーピーの羽,哈比之羽
24,命の木の実,生命之果
25,不思議な木の実,不可思议之果
26,力の種,力量之种
27,守りの種,守护之种
28,魔力の種,魔力之种
29,精神の種,精神之种
30,素早さの種,敏捷之种
31,器用さの種,灵巧之种
32,小さなメダル,小奖章
33,魔物のミルク,魔物的乳汁
34,魔物の尿,魔物的尿
35,導きの糸,引导之线
36,幸せの種,幸福之种
37,天使の種,天使之种
38,超天使の種,超天使之种
39,女神の種,女神之种
40,職業の種,职业之种
41,大職の種,大职业之种
42,超職の種,超职之种
43,神職の種,神职之种
44,種族の種,种族之种
45,大種の種,大种之种
46,超種の種,超种之种
47,神種の種,神种之种
48,デバッグ用,调试用
50,ランパスドロップ,兰帕丝蜜糖
51,炎石,炎石
52,紅炎石,红炎石
53,赤熱紅炎石,赤热红炎石
54,サラマンダールビー,萨拉曼达红宝石
55,氷石,冰石
56,蒼氷石,苍冰石
57,凍結蒼氷石,冻结苍冰石
58,フロストアメジスト,霜冻紫水晶
59,雷石,""
60,黄雷石,""
61,電光黄雷石,电光黄雷石
62,プラズマトルマリン,等离子电气石
63,風石,风石
64,緑風石,绿风石
65,疾風緑風石,疾风绿风石
66,シルフエメラルド,希尔芙翡翠
67,土石,""
68,橙土石,""
69,土流橙土石,""
70,ノームトパーズ,诺姆黄玉
71,水石,""
72,青水石,""
73,激流青水石,""
74,ウンディーネサファイア,温蒂妮蓝宝石
75,聖石,圣石
76,白聖石,白圣石
77,天空白聖石,天空白圣石
78,エンジェルダイヤモンド,天使钻石
79,闇石,暗石
80,黒闇石,黑暗石
81,輝晶黒闇石,辉晶黑暗石
82,サタンクリスタル,撒旦水晶
91,空の秘石,空秘石
92,空の大秘石,空的大秘石
93,空の超秘石,空的超秘石
94,空の絶秘石,空的绝秘石
95,空の極秘石,空的极秘石
96,空の神秘石,空的神秘石
97,空の無限秘石,空的无限秘石
98,空の究極秘石,空的究极秘石
99,空の混沌秘石,空的混沌秘石
100,空の最終秘石,空的最终秘石
101,手裏剣,手里剑
102,風魔手裏剣,风魔手里剑
103,クリスタルの手裏剣,水晶制手里剑
104,竜鱗の手裏剣,龙鳞制手里剑
105,オリハルコンの手裏剣,奥利哈钢制手里剑
106,虹の手裏剣,虹制手里剑
107,流星の手裏剣,流星制手里剑
109,魔導書のページ,魔导书的书页
110,錬金砂,炼金砂
111,魔水銀,魔水银
112,賢者の石,贤者之石
151,鉄の塊,铁块
152,金塊,金块
153,ミスリル鉱石,秘银矿石
154,クリスタル,水晶
155,竜鱗石,龙鳞石
156,オリハルコン,奥利哈钢
157,虹の結晶,虹之结晶
158,隕鉄,陨铁
160,ぷるぷるゼリー,弹弹果冻
161,ヌルヌル粘液,黏滑粘液
