"来源ID","日本名称","学习等级","学习类型","学习对象ID","日本技能/能力名称","日本所属","日本说明","HP消耗","MP消耗","SP消耗（内部TP）","所需AP（记忆容量）","技能类型ID","中文名称","中文技能/能力名称","中文所属","中文说明"
"151","人間","2","能力","802","経験値優先修行","特殊アビリティ","獲得経験値が1.5倍になるが、獲得職業経験値は半分になる","","","","1","5","人类","经验优先修行","特殊能力","獲得経験値が1.5倍になるが、獲得職業経験値は半分になる"
"151","人間","3","能力","804","職業優先修行","特殊アビリティ","獲得職業経験値が1.5倍になるが、獲得経験値は半分になる","","","","3","5","人类","职业优先修行","特殊能力","獲得職業経験値が1.5倍になるが、獲得経験値は半分になる"
"151","人間","4","技能","3094","手当て","特技","対象：味方単体　効果：HP小回復
簡単な応急処置で味方単体を小回復する","0","0","1","","63","人类","治疗","特技","対象：味方単体　効果：HP小回復
简单的急救处理，恢复单个友军的少量生命"
"151","人間","5","能力","733","アピール","特殊アビリティ","戦闘時、敵に狙われる確率が上がる","","","","1","5","人类","吸引","特殊能力","战斗时，被敌人盯上的概率提高"
"151","人間","6","能力","799","捨て身の修行","特殊アビリティ","最大HPが半分になるが、獲得経験値が1.5倍になる","","","","1","5","人类","舍身修行","特殊能力","最大HPが半分になるが、獲得経験値が1.5倍になる"
"151","人間","7","能力","803","経験値専念修行","特殊アビリティ","獲得経験値が2倍になるが、職業経験値は得られない","","","","1","5","人类","经验专注修行","特殊能力","获得的经验值变为2倍，但无法获得职业经验值"
"151","人間","8","能力","805","職業専念修行","特殊アビリティ","獲得職業経験値が2倍になるが、経験値は得られない","","","","3","5","人类","职业专注修行","特殊能力","获得的职业经验值变为2倍，但无法获得经验值"
"151","人間","9","能力","800","瀕死の修行","特殊アビリティ","最大HPが1/100になるが、獲得経験値が2倍になる","","","","1","5","人类","濒死修行","特殊能力","最大HPが1/100になるが、獲得経験値が2倍になる"
"151","人間","9","技能","3117","深呼吸","特技","対象：使用者　効果：HP・SPターン小回復
精神を落ち着け、HPとSPを徐々に回復させる","0","0","2","","63","人类","深呼吸","特技","対象：使用者　効果：HP・SPターン小回復
平复精神，逐渐回复HP和SP"
"151","人間","10","技能","3095","お祈り","特技","対象：使用者　効果：MP小回復
天に祈り、自身のMPを少しだけ回復する","0","0","2","","63","人类","祈祷","特技","対象：使用者　効果：MP小回復
向天祈祷，稍微恢复自己的MP"
"152","魔人","2","技能","1168","冥界波","鎌技","威力：Ａ（力or魔）　対象：敵全体　効果：即死
冥界の門を開き、鎌を通じて闇の波動を放つ奥義","0","0","8","","13","魔人","冥界波","镰技","威力：Ａ（力or魔）　対象：敵全体　効果：即死
打开冥界之门，通过镰释放黑暗波动的奥义"
