"来源ID","日本名称","学习等级","学习类型","学习对象ID","日本技能/能力名称","日本所属","日本说明","HP消耗","MP消耗","SP消耗（内部TP）","所需AP（记忆容量）","技能类型ID","中文名称","中文技能/能力名称","中文所属","中文说明"
"1","戦士","2","技能","917","切り返し","剣技","威力：Ｅ（力）　対象：敵単体
斬り下ろしの直後に手首を返して斬り上げる剣技","0","0","2","","7","战士","反击","剑技","威力：Ｅ（力）　対象：敵単体
斩下后迅速手腕回转斩上的剑技"
"1","戦士","3","能力","61","HP10%アップ","戦技アビリティ","最大HPが10%アップする","","","","3","1","战士","HP提升10%","战技能力","最大HP提升10%"
"1","戦士","4","技能","918","疾風突き","剣技","威力：Ｅ（力）　対象：敵単体　属性：風　効果：速攻
疾風のように踏み込み、敵に刃を叩き込む剣技","0","0","1","","7","战士","疾风突刺","剑技","威力：Ｅ（力）　対象：敵単体　属性：風　効果：速攻
如疾风般突进，将刃击入敌方的剑技"
"1","戦士","5","技能","3096","力溜め","特技","対象：使用者　効果：攻撃力アップ
力を溜め、次のターンの攻撃力をアップさせる","0","0","1","","63","战士","蓄力","特技","対象：使用者　効果：攻撃力アップ
蓄力，提升下一回合的攻击力"
"1","戦士","6","技能","919","払車剣","剣技","威力：Ｄ（力）　対象：敵単体
車輪状の衝撃波を放ち敵を切り裂く剣技","0","0","3","","7","战士","扫车剑","剑技","威力：Ｄ（力）　対象：敵単体
释放车轮状的冲击波，斩裂敌人"
"1","戦士","7","能力","544","防御力10%アップ","防御アビリティ","防御力が10%アップする","","","","3","4","战士","防御力提升10%","防御能力","防御力提升10%"
"1","戦士","8","技能","920","諸刃斬り","剣技","威力：Ｂ（力）　対象：敵単体　効果：自分もダメージ
高威力だが自身もダメージを受けてしまう両刃の斬撃","0","0","2","","7","战士","双刃斩","剑技","威力：Ｂ（力）　対象：敵単体　効果：自分もダメージ
高威力但自身也会受到伤害的双刃斩击"
"1","戦士","9","能力","66","攻撃力10%アップ","戦技アビリティ","攻撃力が10%アップする","","","","3","1","战士","攻击力提升10%","战技能力","攻击力提升10%"
"1","戦士","10","技能","921","隼斬り","剣技","威力：Ｃ（力）　対象：敵単体2回
素早く二連続の斬撃を繰り出す剣技","0","0","4","","7","战士","隼斩","剑技","威力：Ｃ（力）　対象：敵単体2回
迅速连续发出两次斩击的剑技"
"2","剣士","2","技能","932","烈風剣","剣技","威力：Ｄ（力）　対象：敵全体　属性：風
剣撃によって真空の刃を発生させ敵全体に放つ剣技","0","0","4","","7","剑士","烈风剑","剑技","威力：Ｄ（力）　対象：敵全体　属性：風
通过剑击产生真空之刃，对全体敌人放出的剑技"
"2","剣士","3","能力","62","HP20%アップ","戦技アビリティ","最大HPが20%アップする","","","","5","1","剑士","HP提升20%","战技能力","最大HP提升20%"
"2","剣士","4","技能","935","デッドクラッシュ","剣技","威力：Ｃ（力）　対象：敵単体　効果：即死
渾身の力で刃を振り下ろし、命を絶つ剣技","0","0","4","","7","剑士","死亡冲击","剑技","威力：Ｃ（力）　対象：敵単体　効果：即死
全力挥下剑刃，斩断生命的剑技"
"2","剣士","5","技能","3097","気合い溜め","特技","対象：使用者　効果：攻撃力アップ
力を溜め、次のターンの攻撃力を大きくアップさせる","0","0","2","","63","剑士","集中蓄力","特技","対象：使用者　効果：攻撃力アップ
蓄力，大幅提升下一回合的攻击力"
"2","剣士","6","技能","933","月影の太刀","剣技","威力：Ｂ（力）　対象：敵単体
月影の下に舞い、敵を一閃する剣技","0","0","5","","7","剑士","月影之太刀","剑技","威力：Ｂ（力）　対象：敵単体
在月影下舞动，一闪敌人的剑技"
"2","剣士","7","能力","212","「剣」装備可能","戦技アビリティ","「剣」「騎士剣」が装備可能になる","","","","5","1","剑士","可以装备「剑」","战技能力","变得可以装备「剑」「骑士剑」"
"2","剣士","8","技能","934","魔神斬り","剣技","威力：Ｓ（力）　対象：敵単体　効果：会心orミス
魔神のように会心の一撃を繰り出すが、外す可能性も高い","0","0","2","","7","剑士","魔神斩","剑技","威力：Ｓ（力）　対象：敵単体　効果：会心orミス
如魔神般放出会心一击，但失误的可能性也很高"
"2","剣士","9","能力","163","剣ブースター","戦技アビリティ","剣装備時、その武器によるダメージが15%アップする","","","","10","1","剑士","剑增强","战技能力","装备剑时，该武器造成的伤害提升15%"
"2","剣士","10","技能","936","二刀十字斬","剣技","威力：Ｂ（力）　対象：敵単体2回
二本の刃で十字を描くように敵を切り裂く斬撃","0","0","5","","7","剑士","二刀十字斩","剑技","威力：Ｂ（力）　対象：敵単体2回
用两把剑划出十字，斩裂敌人的斩击"
"3","剣聖","2","技能","946","屠竜撃","剣技","威力：Ａ（力）　対象：敵単体　効果：竜特攻
竜をも討ち滅ぼす必殺の斬撃","0","0","7","","7","剑圣","屠龙击","剑技","威力：Ａ（力）　対象：敵単体　効果：竜特攻
必杀的斩击，连龙也能讨伐"
"3","剣聖","3","能力","63","HP30%アップ","戦技アビリティ","最大HPが30%アップする","","","","7","1","剑圣","HP提升30%","战技能力","最大HP提升30%"
"3","剣聖","4","技能","953","死剣・乱れ星","剣技","威力：Ａ（力）　対象：敵ランダム5回
何度も斬撃を繰り出し、敵に連続攻撃を浴びせる魔剣技","0","0","8","","7","剑圣","死剑・乱星","剑技","威力：Ａ（力）　対象：敵ランダム5回
多次斩击，对敌人进行连续攻击的魔剑技"
"3","剣聖","5","技能","3098","全力溜め","特技","対象：使用者　効果：攻撃力アップ
力を溜め、次のターンの攻撃力を爆発的にアップさせる","0","0","4","","63","剑圣","全力蓄力","特技","対象：使用者　効果：攻撃力アップ
蓄力，爆发性地提升下一回合的攻击力"
"3","剣聖","6","技能","1704","魔法剣ホーリー","魔法剣","対象：使用者　効果：物理攻撃聖属性付加
武器に聖なる魔力を宿し、聖属性の攻撃を繰り出す魔法剣","0","6","0","","28","剑圣","魔法剑---圣","魔法剑","対象：使用者　効果：物理攻撃聖属性付加
武器寄宿神圣魔力，释放圣属性攻击的魔法剑"
"3","剣聖","7","能力","230","「剣技」使用可能","戦技アビリティ","「剣技」が使用可能になる","","","","5","1","剑圣","「剑技」可以使用","战技能力","可以使用「剑技」"
"3","剣聖","8","技能","947","雲身払車剣","剣技","威力：Ａ（力）　対象：敵全体
車輪状の衝撃波を複数生じさせ、敵全体を切り裂く剣技","0","0","8","","7","剑圣","云身拂车剑","剑技","威力：Ａ（力）　対象：敵全体
产生多个车轮状冲击波，斩裂全体敌人的剑技"
"3","剣聖","9","能力","164","剣ハイブースター","戦技アビリティ","剣装備時、その武器によるダメージが30%アップする","","","","20","1","剑圣","剑高级增强","战技能力","装备剑时，该武器造成的伤害提升30%"
"3","剣聖","10","技能","961","月下散華","剣技","威力：Ｓ（力）　対象：敵単体
月の下、相手の命を花と散らす奥義","0","0","10","","7","剑圣","月下散华","剑技","威力：Ｓ（力）　対象：敵単体
在月光下，将对手的生命如花般散落，奥义"
"3","剣聖","10","能力","8444","剣マスタリー","特殊アビリティ","剣の装備効果が上昇する","","","","10","5","剑圣","剑精通","特殊能力","剑的装备效果提升"
"4","魔剣士","2","技能","948","滅世斬","剣技","威力：Ｓ（力）　対象：敵単体　属性：闇
暗黒の力を刃に込めた必滅の奥義","10%当前HP","0","5","","7","魔剑士","灭世斩","剑技","威力：Ｓ（力）　対象：敵単体　属性：闇
将暗黑之力注入刃中的必灭奥义"
"4","魔剣士","3","能力","213","「巨剣」装備可能","戦技アビリティ","「巨剣」が装備可能になる","","","","5","1","魔剑士","可以装备「巨剑」","战技能力","变得可以装备「巨剑」"
"4","魔剣士","4","能力","110","暗黒","戦技アビリティ","通常攻撃の威力が大幅に上がるが最大HPの2%を消費する","","","","5","1","魔剑士","黑暗","战技能力","普通攻击威力大幅上升，但消耗最大HP的2%"
"4","魔剣士","5","能力","147","闇属性付加","戦技アビリティ","物理攻撃に闇属性を付加する","","","","20","1","魔剑士","暗属性附加","战技能力","物理攻击附加暗属性"
"4","魔剣士","6","技能","1705","魔法剣ダーク","魔法剣","対象：使用者　効果：物理攻撃闇属性付加
武器に闇の魔力を宿し、闇属性の攻撃を繰り出す魔法剣","0","6","0","","28","魔剑士","魔法剑---暗","魔法剑","対象：使用者　効果：物理攻撃闇属性付加
武器寄宿暗之魔力，释放暗属性攻击的魔法剑"
"4","魔剣士","7","能力","230","「剣技」使用可能","戦技アビリティ","「剣技」が使用可能になる","","","","5","1","魔剑士","「剑技」可以使用","战技能力","可以使用「剑技」"
"4","魔剣士","8","技能","954","魔影流星斬","剣技","威力：Ｓ（力）　対象：敵ランダム5回　属性：闇
流星のような斬撃の嵐で敵を滅ぼす闇の奥義","10%当前HP","0","5","","7","魔剑士","魔影流星斩","剑技","威力：Ｓ（力）　対象：敵ランダム5回　属性：闇
以流星般的斩击风暴消灭敌人的暗之奥义"
"4","魔剣士","9","能力","164","剣ハイブースター","戦技アビリティ","剣装備時、その武器によるダメージが30%アップする","","","","20","1","魔剑士","剑高级增强","战技能力","装备剑时，该武器造成的伤害提升30%"
"4","魔剣士","10","技能","962","魔刃・雪時雨","剣技","威力：Ｓ（力）　対象：敵単体
舞い散る雪時雨の中、敵を切り裂く奥義","0","0","10","","7","魔剑士","魔刃・雪时雨","剑技","威力：Ｓ（力）　対象：敵単体
在飘散的雪时雨中，斩裂敌人的奥义"
"4","魔剣士","10","能力","8444","剣マスタリー","特殊アビリティ","剣の装備効果が上昇する","","","","10","5","魔剑士","剑精通","特殊能力","剑的装备效果提升"
"5","聖堂騎士","2","技能","1051","アンデッドスレイヤー","槍技","威力：Ｃ（力・速）　対象：敵単体　効果：ゾンビ・ゴースト特攻
死から蘇ったモンスターを滅ぼす、聖なる槍技","0","0","4","","10","圣堂骑士","亡灵猎手","枪技","威力：Ｃ（力・速）　対象：敵単体　効果：ゾンビ・ゴースト特攻
消灭从死亡中复苏的魔物，神圣的枪技"
"5","聖堂騎士","3","能力","545","防御力20%アップ","防御アビリティ","防御力が20%アップする","","","","5","4","圣堂骑士","防御力提升20%","防御能力","防御力提升20%"
"5","聖堂騎士","4","技能","1088","聖槍ガード","槍技","対象：味方全体　効果：防御力アップ
聖なる槍を掲げて守護し、味方全体の防御力をアップさせる","0","0","4","","10","圣堂骑士","圣枪守护","枪技","対象：味方全体　効果：防御力アップ
高举神圣的枪守护，提升我方全体的防御力"
"5","聖堂騎士","5","技能","1053","ホーリーシフト","槍技","威力：Ｂ（力・速）　対象：敵単体　属性：聖
破邪のオーラを込め、敵単体を刺し貫く槍技","0","6","3","","10","圣堂骑士","神圣转移","枪技","威力：Ｂ（力・速）　対象：敵単体　属性：聖
蕴含破邪之气的枪技，贯穿单体敌人"
"5","聖堂騎士","6","能力","134","ゾンビ特攻","戦技アビリティ","ゾンビに対して特攻ダメージを与える","","","","12","1","圣堂骑士","僵尸特攻","战技能力","对僵尸造成特攻伤害"
"5","聖堂騎士","7","能力","135","ゴースト特攻","戦技アビリティ","ゴーストに対して特攻ダメージを与える","","","","12","1","圣堂骑士","幽灵特攻","战技能力","对幽灵造成特攻伤害"
"5","聖堂騎士","8","技能","1085","祈りの聖槍","槍技","対象：味方単体　効果：HP中回復
聖なる槍を天に掲げて祈り、味方単体のHPを回復させる","0","0","2","","10","圣堂骑士","祈祷的圣枪","枪技","対象：味方単体　効果：HP中回復
高举神圣的枪向天祈祷，恢复我方单体的HP"
