"能力ID","日文名称","日文所属","日文说明","可学习职业（日文，含等级）","可学习种族（日文，含等级）","所需AP","中文名称","中文所属","中文说明","可学习职业（中文，含等级）","可学习种族（中文，含等级）","技能类型ID"
"52","もがく","戦技アビリティ","","","","0","挣扎","战技能力","","","","1"
"61","HP10%アップ","戦技アビリティ","最大HPが10%アップする","1:戦士（Lv3）；79:商人（Lv3）；6998:野生児（Lv3）","223:スライム（Lv3）；283:ドラゴン（Lv3）；293:陸棲種（Lv3）；301:海棲種（Lv3）；328:ゾンビ（Lv3）；354:キメラ（Lv4）；7408:巨人（Lv7）","3","HP提升10%","战技能力","最大HP提升10%","1:战士（Lv3）；79:商人（Lv3）；6998:野孩子（Lv3）","223:史莱姆（Lv3）；283:龙（Lv3）；293:陆栖种（Lv3）；301:海栖种（Lv3）；328:僵尸（Lv3）；354:奇美拉（Lv4）；7408:巨人（Lv7）","1"
"62","HP20%アップ","戦技アビリティ","最大HPが20%アップする","2:剣士（Lv3）；80:闇商人（Lv3）；6999:魔物魂（Lv3）","170:妖鬼（Lv3）；199:行商マーメイド（Lv2）；217:土精（Lv3）；224:メガスライム（Lv3）；237:ミノタウロス（Lv3）；284:竜人（Lv3）；294:陸上魔類（Lv3）；302:海洋搾精種（Lv3）；329:ハイアンデッド（Lv3）；349:ゴーレム（Lv3）；355:三種混合体（Lv3）；7409:ギガース（Lv7）","5","HP提升20%","战技能力","最大HP提升20%","2:剑士（Lv3）；80:暗商人（Lv3）；6999:魔物魂（Lv3）","170:妖鬼（Lv3）；199:行商人鱼（Lv2）；217:土精（Lv3）；224:大史莱姆（Lv3）；237:米诺陶洛斯（Lv3）；284:龙人（Lv3）；294:陆上魔类（Lv3）；302:海洋榨精种（Lv3）；329:高级不死族（Lv3）；349:魔像（Lv3）；355:三重混合体（Lv3）；7409:巨灵（Lv7）","1"
"63","HP30%アップ","戦技アビリティ","最大HPが30%アップする","3:剣聖（Lv3）；81:神の見えざる手（Lv3）；7000:ワイルドハート（Lv3）","171:鬼神（Lv3）；200:海運王ローレライ（Lv3）；218:土の精霊（Lv3）；225:ギガスライム（Lv3）；238:ギガタウロス（Lv3）；285:覇竜（Lv3）；295:エビルスピーシーズ（Lv3）；303:マリンプリンセス（Lv3）；330:マスターアンデッド（Lv3）；350:マスターゴーレム（Lv3）；356:ギガミュータント（Lv3）；7410:巨神（Lv7）","7","HP提升30%","战技能力","最大HP提升30%","3:剑圣（Lv3）；81:无形的大手（Lv3）；7000:野性之心（Lv3）","171:鬼神（Lv3）；200:海运王罗蕾莱（Lv3）；218:土之精灵（Lv3）；225:千兆史莱姆（Lv3）；238:巨型弥诺陶洛斯（Lv3）；285:霸龙（Lv3）；295:邪恶精灵（Lv3）；303:海洋公主（Lv3）；330:大师不死族（Lv3）；350:大师魔像（Lv3）；356:巨型突变体（Lv3）；7410:巨神（Lv7）","1"
"64","HP40%アップ","戦技アビリティ","最大HPが40%アップする","136:騎士王（Lv3）；7011:究極剣士（Lv3）；7033:商神（Lv3）","230:クィーンスライム（Lv3）","10","HP提升40%","战技能力","最大HP提升40%","136:骑士王（Lv3）；7011:究极剑士（Lv3）；7033:商神（Lv3）","230:史莱姆女王（Lv3）","1"
"65","HP50%アップ","戦技アビリティ","最大HPが50%アップする","78:ジャスティスカイザー（Lv3）；7056:超魔生物（Lv3）","231:究極群体生命（Lv3）；300:百魔の王（Lv3）；308:海神（Lv3）；335:カオスアンデッド（Lv3）；361:ウェポンタイプ（Lv3）；7445:巨神王（Lv3）","15","HP提升50%","战技能力","最大HP提升50%","78:正义凯撒（Lv3）；7056:超魔生物（Lv3）","231:究极群体生命（Lv3）；300:百魔之王（Lv3）；308:海神（Lv3）；335:混沌不死族（Lv3）；361:武器类型（Lv3）；7445:巨神王（Lv3）","1"
"66","攻撃力10%アップ","戦技アビリティ","攻撃力が10%アップする","1:戦士（Lv9）；113:魔芸師（Lv5）；6998:野生児（Lv5）","232:魔獣（Lv4）；283:ドラゴン（Lv5）；328:ゾンビ（Lv4）；354:キメラ（Lv6）；7401:試作ロイド（Lv3）；7408:巨人（Lv3）","3","攻击力提升10%","战技能力","攻击力提升10%","1:战士（Lv9）；113:魔艺师（Lv5）；6998:野孩子（Lv5）","232:魔兽（Lv4）；283:龙（Lv5）；328:僵尸（Lv4）；354:奇美拉（Lv6）；7401:试作型机器人（Lv3）；7408:巨人（Lv3）","1"
"67","攻撃力20%アップ","戦技アビリティ","攻撃力が20%アップする","15:パワーファイター（Lv3）；17:狂戦士（Lv3）；30:バトルマスター（Lv2）；6999:魔物魂（Lv5）","170:妖鬼（Lv4）；197:海賊マーメイド（Lv3）；210:デュラハン（Lv3）；217:土精（Lv3）；228:肉食スライム（Lv3）；233:ルナティックビースト（Lv2）；237:ミノタウロス（Lv3）；261:メデューサ（Lv3）；268:サムライスキュラ（Lv3）；277:ハーピーナイト（Lv3）；279:エイビス（Lv3）；284:竜人（Lv5）；324:食虫淫花（Lv3）；329:ハイアンデッド（Lv4）；349:ゴーレム（Lv6）；355:三種混合体（Lv5）；366:ヴァルキリー（Lv3）；7406:近接型ロイド（Lv3）；7409:ギガース（Lv3）","5","攻击力提升20%","战技能力","攻击力提升20%","15:力量斗士（Lv3）；17:狂战士（Lv3）；30:战斗大师（Lv2）；6999:魔物魂（Lv5）","170:妖鬼（Lv4）；197:海贼人鱼（Lv3）；210:杜拉罕（Lv3）；217:土精（Lv3）；228:肉食史莱姆（Lv3）；233:月夜狂兽（Lv2）；237:米诺陶洛斯（Lv3）；261:美杜莎（Lv3）；268:剑士斯库拉（Lv3）；277:哈比骑士（Lv3）；279:龙鸟（Lv3）；284:龙人（Lv5）；324:食虫淫花（Lv3）；329:高级不死族（Lv4）；349:魔像（Lv6）；355:三重混合体（Lv5）；366:瓦尔基里（Lv3）；7406:近战型机器人（Lv3）；7409:巨灵（Lv3）","1"
"68","攻撃力30%アップ","戦技アビリティ","攻撃力が30%アップする","16:ギガファイター（Lv3）；18:ベルセルク（Lv3）；7000:ワイルドハート（Lv3）","171:鬼神（Lv4）；198:海賊王ローレライ（Lv3）；211:ロードデュラハン（Lv3）；218:土の精霊（Lv3）；229:淫酷の粘妖（Lv3）；234:血塗られた狂獣（Lv3）；238:ギガタウロス（Lv3）；262:ロードメデューサ（Lv3）；269:天下無双スキュラ（Lv3）；278:スカイハイ（Lv3）；280:ガルーダ（Lv3）；285:覇竜（Lv5）；325:ビーナスネペンテス（Lv3）；330:マスターアンデッド（Lv4）；350:マスターゴーレム（Lv5）；356:ギガミュータント（Lv5）；367:ロードヴァルキュリア（Lv3）；7407:アサルトロイド（Lv3）；7410:巨神（Lv3）","7","攻击力提升30%","战技能力","攻击力提升30%","16:巨力斗士（Lv3）；18:狂怒战士（Lv3）；7000:野性之心（Lv3）","171:鬼神（Lv4）；198:海贼王罗蕾莱（Lv3）；211:领主杜拉罕（Lv3）；218:土之精灵（Lv3）；229:淫酷粘妖（Lv3）；234:血染的狂兽（Lv3）；238:巨型弥诺陶洛斯（Lv3）；262:美杜莎领主（Lv3）；269:天下无双斯库拉（Lv3）；278:至高天（Lv3）；280:迦楼罗（Lv3）；285:霸龙（Lv5）；325:维纳斯之花（Lv3）；330:大师不死族（Lv4）；350:大师魔像（Lv5）；356:巨型突变体（Lv5）；367:女武神领主（Lv3）；7407:突击机器人（Lv3）；7410:巨神（Lv3）","1"
"69","攻撃力40%アップ","戦技アビリティ","攻撃力が40%アップする","31:バトルエンペラー（Lv7）；7011:究極剣士（Lv3）；7015:メテオブレイカー（Lv3）","","10","攻击力提升40%","战技能力","攻击力提升40%","31:战斗皇帝（Lv7）；7011:究极剑士（Lv3）；7015:流星破坏者（Lv3）","","1"
