"角色ID","日本角色名称","Faces路径","Faces索引","角色立绘路径","角色立绘索引","角色Cut-inPictures路径","中文角色名称"
"1","ルカ","Graphics/Faces/ruka_fc1","0","Graphics/Characters/Main01_cip","0","Graphics/Pictures/80_ruka_st01；Graphics/Pictures/80_sylph_st01；Graphics/Pictures/80_gnome_st21；Graphics/Pictures/80_undine_st01；Graphics/Pictures/80_salamander_st02；Graphics/Pictures/ct_ruka3；Graphics/Pictures/iv_rukab3；Graphics/Pictures/ct_ruka2","鲁卡"
"2","ルカ","Graphics/Faces/ruka_fc4","0","Graphics/Characters/Main04_cip","3","Graphics/Pictures/80_ruka_st31b；Graphics/Pictures/80_sylph_st01；Graphics/Pictures/80_gnome_st21；Graphics/Pictures/80_undine_st01；Graphics/Pictures/80_salamander_st02；Graphics/Pictures/iv_rukab3","鲁卡"
"3","ルカ","Graphics/Faces/ruka_fc3","0","Graphics/Characters/Main03_cip","7","Graphics/Pictures/80_ruka_st21；Graphics/Pictures/80_sylph_st01；Graphics/Pictures/80_gnome_st21；Graphics/Pictures/80_undine_st01；Graphics/Pictures/80_salamander_st02；Graphics/Pictures/iv_rukab3","鲁卡"
"4","ルカ","Graphics/Faces/ruka_fc99","0","Graphics/Characters/Main03_cip","6","Graphics/Pictures/80_ruka_st99；Graphics/Pictures/80_sylph_st01；Graphics/Pictures/80_gnome_st21；Graphics/Pictures/80_undine_st01；Graphics/Pictures/80_salamander_st02；Graphics/Pictures/ct_ruka99","鲁卡"
"5","アリス","Graphics/Faces/alice_fc5","0","Graphics/Characters/Main02_cip","4","Graphics/Pictures/ct_alice1","爱丽丝"
"6","アリス","Graphics/Faces/alice_fc1","0","Graphics/Characters/Main01_cip","1","Graphics/Pictures/80_alice_st01","爱丽丝"
"7","アリス","Graphics/Faces/alice_fc7","0","Graphics/Characters/$Awakening_Alice_the16th_01_cip","0","Graphics/Pictures/80_alice_st51b","爱丽丝"
"9","ワールドブレイカー","Graphics/Faces/worldbreaker_fc1","0","Graphics/Characters/Main03_cip","3","Graphics/Pictures/80_sylph_st01；Graphics/Pictures/80_gnome_st21；Graphics/Pictures/80_undine_st01；Graphics/Pictures/80_salamander_st02；Graphics/Pictures/80_alice_st01","世界破坏者"
"10","ジャッジメント","Graphics/Faces/judgement_fc1","0","Graphics/Characters/Main03_cip","2","Graphics/Pictures/80_iriasu_st41","审判"
"12","シルフ","Graphics/Faces/sylph_fc1","0","Graphics/Characters/Main02_cip","0","Graphics/Pictures/80_sylph_st05","希尔芙"
"13","ノーム","Graphics/Faces/gnome_fc1","0","Graphics/Characters/Main02_cip","1","Graphics/Pictures/80_gnome_st21","诺姆"
"14","ウンディーネ","Graphics/Faces/undine_fc1","0","Graphics/Characters/Main02_cip","2","Graphics/Pictures/80_undine_st01","温蒂妮"
"15","サラマンダー","Graphics/Faces/salamander_fc1","0","Graphics/Characters/Main02_cip","3","Graphics/Pictures/80_salamander_st03","萨拉曼达"
"16","グランベリア","Graphics/Faces/granberia_fc3","0","Graphics/Characters/Main01_cip","4","Graphics/Pictures/ct_granberia1；Graphics/Pictures/ct_granberia2；Graphics/Pictures/ct_granberia3；Graphics/Pictures/ct_granberia5","古兰贝莉娅"
"17","グランベリア","Graphics/Faces/granberia_fc4","3","Graphics/Characters/Main02_cip","7","Graphics/Pictures/ct_granberia4","古兰贝莉娅"
"19","アルマエルマ","Graphics/Faces/arumaeruma_fc2","0","Graphics/Characters/Main01_cip","6","Graphics/Pictures/ct_arumaeruma1；Graphics/Pictures/ct_arumaeruma3；Graphics/Pictures/ct_arumaeruma4；Graphics/Pictures/ct_arumaeruma2","阿露艾露玛"
"21","たまも","Graphics/Faces/tamamo_fc1","0","Graphics/Characters/Main01_cip","5","","玉藻"
"22","玉藻","Graphics/Faces/tamamo_fc2","0","Graphics/Characters/Main03_cip","0","","玉藻"
"23","エルベティエ","Graphics/Faces/erbetie_fc1","0","Graphics/Characters/Main01_cip","7","","艾露贝提耶"
"24","エルベティエ・カナデ","Graphics/Faces/erbetie_fc2","0","Graphics/Characters/$Awakening_Erubetie01_cip","0","","艾露贝提耶・祸抚"
"26","イリアス","Graphics/Faces/iriasu_fc4","0","Graphics/Characters/Main02_cip","5","Graphics/Pictures/ct_iriasu1；Graphics/Pictures/ct_iriasu2","伊莉娅丝"
"27","イリアス","Graphics/Faces/iriasu_fc1","0","Graphics/Characters/Main01_cip","3","Graphics/Pictures/ct_iriasu3","伊莉娅丝"
"28","イリアス","Graphics/Faces/iriasu_fc3","0","Graphics/Characters/$Irias(Last)_cip","0","","伊莉娅丝"
"29","イリアス","Graphics/Faces/iriasu_fc6","0","Graphics/Characters/Main01_cip","3","Graphics/Pictures/80_iriasu_st41","伊莉娅丝"
"30","カオスイリアス","Graphics/Faces/iriasu_fc7","0","Graphics/Characters/Main03_cip","4","Graphics/Pictures/80_iriasu3_st01","混沌伊莉娅丝"
"32","ミカエラ","Graphics/Faces/micaela_fc2","0","Graphics/Characters/Civlian02_cip","0","Graphics/Pictures/ct_micaela1","米迦艾拉"
"33","ミカエラ","Graphics/Faces/micaela_fc3","0","Graphics/Characters/Angel05_cip","1","Graphics/Pictures/80_micaela_st42","米迦艾拉"
"34","ミカエラちゃん","Graphics/Faces/micaelac_fc1","0","Graphics/Characters/Angel04_cip","6","Graphics/Pictures/ct_micaelac2；Graphics/Pictures/ct_micaelac1","小米迦艾拉"
"35","ルシフィナ","Graphics/Faces/rucyfina_fc2","0","Graphics/Characters/Civlian02_cip","4","Graphics/Pictures/ct_rucyfina2；Graphics/Pictures/ct_rucyfina1","路西菲娜"
"36","ルシフィナちゃん","Graphics/Faces/rucyfinac_fc1","0","Graphics/Characters/Angel04_cip","7","Graphics/Pictures/80_rucyfinac_st01；Graphics/Pictures/ct_rucyfinac1","小路西菲娜"
"37","プロメスティン","Graphics/Faces/stein_fc1","0","Graphics/Characters/Angel01_cip","0","Graphics/Pictures/ct_stein2；Graphics/Pictures/ct_stein3；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","普罗米斯汀"
"38","プロメスティン","Graphics/Faces/stein_fc1","4","Graphics/Characters/Angel01_cip","1","Graphics/Pictures/80_stein_st21；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","普罗米斯汀"
"39","プロメスティン","Graphics/Faces/stein_fc1","7","Graphics/Characters/$Prometheusn(last)01_cip","0","Graphics/Pictures/80_stein2_st01；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","普罗米斯汀"
"40","プロメスティン","Graphics/Faces/stein_fc4","0","Graphics/Characters/$Prometheusn_stein_cip","0","Graphics/Pictures/ct_stein4；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","普罗米斯汀"
"41","プロメスティン","Graphics/Faces/stein_fc2","0","Graphics/Characters/Angel01_cip","7","Graphics/Pictures/ct_stein1","普罗米斯汀"
"45","アリストロメリア","Graphics/Faces/alicetromeria_fc1","4","Graphics/Characters/Civlian03_cip","7","Graphics/Pictures/ct_alicetromeria1","爱丽丝特洛梅利亚"
"53","ライム","Graphics/Faces/slime_fc1","0","Graphics/Characters/Slime01_cip","0","Graphics/Pictures/80_slime_st01；Graphics/Pictures/ct_slime1","莱姆"
"54","うさ","Graphics/Faces/bunnyslime_fc1","0","Graphics/Characters/Slime02_cip","0","Graphics/Pictures/80_bunnyslime_st01；Graphics/Pictures/ct_bunnyslime1","小兔子"
"55","メルク","Graphics/Faces/name_fc1","2","Graphics/Characters/Insect01_cip","0","Graphics/Pictures/ct_name1","梅尔克"
"56","ラミ","Graphics/Faces/inp_fc1","0","Graphics/Characters/Evil01_cip","5","Graphics/Pictures/ct_inp1","拉米"
