ID,名称,中文名称
1,布の服,布衣
2,黒いズタ袋,黑布袋
3,旅人の服,旅行者的服装
4,レザーベスト,皮革背心
5,エンリカの服,恩里卡的服装
6,エンリカの服＋,恩里卡的服装＋
7,ブリガンダイン,板甲衣
8,疾風の服,疾风的服装
9,エンリカの服＋＋,恩里卡的服装＋＋
10,魔導のケープ,魔导的斗篷
11,エンリカの服＋＋＋,恩里卡的服装＋＋＋
12,祝福の巫女服,祝福的巫女服
13,エンリカの服スペシャル,恩里卡的服装特别版
14,エンリカ・ベイルン,恩里卡・贝伦
15,パンデモニウム,万魔殿
16,輝きの巫女服,光辉的巫女服
18,稽古着,练习道服
19,拳法着,拳法服
20,忍びの衣,忍者的衣服
21,忍びの衣改,忍者的衣服改
22,バトルジャケット,战斗夹克
23,ブルージャケット,蓝色夹克
24,師範の羽織,师范羽织
25,武神の闘衣,武神斗衣
26,紅蓮武神闘衣,红莲武神斗衣
27,天使闘衣,天使斗衣
28,覇竜闘衣,霸龙斗衣
29,アサルトスーツ,突击套装
31,アイアンプレート,铁胸甲
32,ハーピーの胸当て,哈比胸甲
33,ゴールドプレート,金胸甲
34,エルフィンプレート,精灵胸甲
35,水のプレート,水之胸甲
36,祝福のプレート,祝福胸甲
37,ミスリルプレート,秘银胸甲
38,涙石プレート,泪石胸甲
39,プチオーガプレート,小鬼胸甲
40,クリスタルプレート,水晶胸甲
41,マーメイドプレート,人鱼胸甲
42,竜鱗の胸当て,龙鳞制胸甲
43,オーガプレート,鬼胸甲
44,オリハルコンプレート,奥利哈钢胸甲
45,神秘のプレート,神秘胸甲
46,プリズムプレート,棱镜胸甲
47,プリズムプレート・マグナ,棱镜胸甲・玛格纳
48,フレイムプレート,火焰胸甲
49,流星の胸当て,流星制胸甲
50,ジャイアントプレート,巨人胸甲
52,革の鎧,皮革之铠
53,青銅の鎧,青铜铠甲
54,青銅の鎧改,青铜铠甲改
55,アイアンメイル,铁铠甲
56,鋼鉄の鎧,钢铁之铠
57,珊瑚の鎧,珊瑚之铠
58,マリンアーマー,海洋铠甲
59,マリンアーマー極,海洋铠甲极
60,ミスリルメイル,秘银铠甲
61,涙石メイル,泪石铠甲
62,ミスリルメイル・アース,秘银铠甲・土
63,ミスリルメイル・アクア,秘银铠甲・水
64,魔法の鎧,魔法之铠
65,魔導の鎧,魔导之铠
66,神機魔導の鎧,神机魔导之铠
67,エンジェルクロス,天使十字
69,ゴールドメイル,黄金铠甲
70,ダークメイル,黑暗铠甲
71,聖堂騎士の鎧,圣堂骑士之铠
72,聖堂騎士の鎧改,圣堂骑士之铠改
73,フォレストガード,森林守卫
